exon_id,n_samples,n_cpgs_tested,n_cpgs_selected,cv_method,rf_r2_cv,rf_r2_std,enet_r2_cv,enet_r2_std,enet_alpha,enet_l1_ratio,n_nonzero_coefs,best_r2_cv,best_model,species
FUN_037961_176949,39,5539274,100,5-fold,0.7106891690709289,0.12916382560016348,0.7875825616967365,0.09915103175646076,3.613402959596317,0.5,100,0.7875825616967365,ElasticNet,Apul
FUN_013555_64833,39,5539274,100,5-fold,0.630614145574806,0.12944725265807133,0.8508044415070234,0.10347118950069155,2.3866505352256095,0.7,100,0.8508044415070234,ElasticNet,Apul
FUN_013556_64847,39,5539274,100,5-fold,0.301524960084127,0.1969356518502655,0.23185193351417516,0.31832389711683245,2.9911817844007005,0.7,99,0.301524960084127,RF,Apul
FUN_032026_145463,39,5539274,100,5-fold,0.5756860706778893,0.24311723758986767,0.6852016028156639,0.282443785288615,2.380451449678107,0.7,98,0.6852016028156639,ElasticNet,Apul
FUN_003569_15486,39,5539274,100,5-fold,-0.1212297336216421,0.7708111457306928,0.04978157229362194,0.40051091471841116,8.451322382436413,0.5,96,0.04978157229362194,ElasticNet,Apul
FUN_014542_68410,39,5539274,100,5-fold,0.5608338906035308,0.13075205433591502,0.5641246882112493,0.12316532962039069,55.40074256732669,0.99,45,0.5641246882112493,ElasticNet,Apul
FUN_001179_5805,39,5539274,100,5-fold,0.508401098995453,0.19690912491765294,0.730496505218752,0.20849141657835477,2.5546869642809695,0.7,100,0.730496505218752,ElasticNet,Apul
FUN_008532_41661,39,5539274,100,5-fold,0.6117956978665703,0.17662018534602675,0.7502432749057139,0.08965236383439706,2.1807694992097426,0.9,90,0.7502432749057139,ElasticNet,Apul
FUN_001179_5798,39,5539274,100,5-fold,0.5194814011973417,0.15502193249072982,0.7779236259615908,0.12944685747992726,2.558314466987034,0.7,97,0.7779236259615908,ElasticNet,Apul
FUN_001628_9038,39,5539274,100,5-fold,0.5952555052695588,0.2416509033396501,0.7124008488404107,0.24496897536402046,2.023881344297928,0.9,89,0.7124008488404107,ElasticNet,Apul
FUN_001179_5799,39,5539274,100,5-fold,0.6188884813024284,0.09003338063329623,0.7971113672557832,0.11080677965528392,1.9788826674115354,0.9,96,0.7971113672557832,ElasticNet,Apul
FUN_003717_15853,39,5539274,100,5-fold,-1.4554869896326104,3.639622597599658,-0.9681946251616237,2.803580170033139,30.499237934583583,0.99,52,-0.9681946251616237,ElasticNet,Apul
FUN_032988_151110,39,5539274,100,5-fold,-1.2904830650695651,3.220262976077675,-0.6014976227911326,2.1455431643458804,3.6047625742964367,0.5,99,-0.6014976227911326,ElasticNet,Apul
FUN_037767_175357,39,5539274,100,5-fold,0.5380086297054822,0.2786042059453689,0.5109011722331996,0.15961570134766323,3.4356182264038653,0.5,99,0.5380086297054822,RF,Apul
