species,gene_id,n_timepoints,min_consensus,mean_consensus,all_high_consensus,n_distinct_consensus,consensus_by_tp,tp1_exon,tp2_exon,tp3_exon,tp4_exon,shift_category
Porites evermanni,gene-Peve_00018785,2,1,1,TRUE,2,TP1:98302; TP2:98306,98302,98306,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00018797,4,0.7142857142857143,0.8660714285714286,TRUE,2,TP1:98377; TP2:98377; TP3:98377; TP4:98376,98377,98377,98377,98376,Timepoint-Coordinated
Porites evermanni,gene-Peve_00018814,3,1,1,TRUE,2,TP1:98500; TP3:98500; TP4:98499,98500,NA,98500,98499,Timepoint-Coordinated
Porites evermanni,gene-Peve_00018879,3,1,1,TRUE,2,TP1:98932; TP2:98932; TP4:98930,98932,98932,NA,98930,Timepoint-Coordinated
Porites evermanni,gene-Peve_00018932,3,1,1,TRUE,2,TP1:99347; TP2:99347; TP4:99348,99347,99347,NA,99348,Timepoint-Coordinated
Porites evermanni,gene-Peve_00018958,4,0.75,0.9375,TRUE,2,TP1:99587; TP2:99586; TP3:99587; TP4:99587,99587,99586,99587,99587,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019004,3,1,1,TRUE,2,TP2:99905; TP3:99908; TP4:99905,NA,99905,99908,99905,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019065,4,1,1,TRUE,2,TP1:100094; TP2:100095; TP3:100095; TP4:100095,100094,100095,100095,100095,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019069,4,0.75,0.8601190476190477,TRUE,2,TP1:100102; TP2:100102; TP3:100101; TP4:100102,100102,100102,100101,100102,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019104,4,1,1,TRUE,2,TP1:100270; TP2:100270; TP3:100270; TP4:100271,100270,100270,100270,100271,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019263,3,1,1,TRUE,3,TP1:100809; TP3:100810; TP4:100811,100809,NA,100810,100811,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019378,2,1,1,TRUE,2,TP1:101686; TP4:101689,101686,NA,NA,101689,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019452,2,1,1,TRUE,2,TP1:102174; TP2:102175,102174,102175,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019517,2,1,1,TRUE,2,TP1:102575; TP4:102574,102575,NA,NA,102574,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019527,2,1,1,TRUE,2,TP1:102635; TP2:102636,102635,102636,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019533,4,0.75,0.9375,TRUE,2,TP1:102653; TP2:102652; TP3:102652; TP4:102652,102653,102652,102652,102652,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019552,2,1,1,TRUE,2,TP1:102748; TP3:102750,102748,NA,102750,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019563,2,1,1,TRUE,2,TP2:102882; TP3:102881,NA,102882,102881,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019564,2,1,1,TRUE,2,TP2:102884; TP3:102883,NA,102884,102883,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019625,2,1,1,TRUE,2,TP2:103278; TP4:103280,NA,103278,NA,103280,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019640,3,1,1,TRUE,2,TP2:103216; TP3:103217; TP4:103216,NA,103216,103217,103216,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019652,4,1,1,TRUE,3,TP1:103236; TP2:103241; TP3:103240; TP4:103236,103236,103241,103240,103236,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019657,4,1,1,TRUE,2,TP1:103248; TP2:103249; TP3:103248; TP4:103249,103248,103249,103248,103249,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019669,3,1,1,TRUE,2,TP2:103308; TP3:103309; TP4:103308,NA,103308,103309,103308,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019756,2,1,1,TRUE,2,TP2:103710; TP4:103709,NA,103710,NA,103709,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019763,3,1,1,TRUE,2,TP1:103730; TP2:103730; TP3:103729,103730,103730,103729,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019776,2,1,1,TRUE,2,TP3:103757; TP4:103756,NA,NA,103757,103756,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019807,2,1,1,TRUE,2,TP1:103942; TP4:103943,103942,NA,NA,103943,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019829,2,1,1,TRUE,2,TP2:104030; TP3:104029,NA,104030,104029,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019849,3,1,1,TRUE,3,TP1:104095; TP3:104094; TP4:104096,104095,NA,104094,104096,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019865,4,0.75,0.875,TRUE,2,TP1:104211; TP2:104211; TP3:104212; TP4:104211,104211,104211,104212,104211,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019914,2,1,1,TRUE,2,TP3:104382; TP4:104381,NA,NA,104382,104381,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019926,3,1,1,TRUE,2,TP1:104422; TP2:104422; TP4:104423,104422,104422,NA,104423,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019939,2,1,1,TRUE,2,TP1:104426; TP3:104425,104426,NA,104425,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00019975,3,1,1,TRUE,2,TP1:104655; TP3:104655; TP4:104654,104655,NA,104655,104654,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020028,2,1,1,TRUE,2,TP1:104900; TP2:104903,104900,104903,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020052,3,0.75,0.9166666666666666,TRUE,2,TP1:105099; TP2:105100; TP4:105099,105099,105100,NA,105099,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020069,2,1,1,TRUE,2,TP3:105205; TP4:105204,NA,NA,105205,105204,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020084,4,1,1,TRUE,2,TP1:104953; TP2:104953; TP3:104955; TP4:104953,104953,104953,104955,104953,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020119,4,1,1,TRUE,3,TP1:105474; TP2:105474; TP3:105472; TP4:105473,105474,105474,105472,105473,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020168,4,1,1,TRUE,2,TP1:105741; TP2:105741; TP3:105741; TP4:105742,105741,105741,105741,105742,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020195,4,1,1,TRUE,2,TP1:105736; TP2:105737; TP3:105736; TP4:105736,105736,105737,105736,105736,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020206,3,1,1,TRUE,2,TP1:105941; TP3:105941; TP4:105942,105941,NA,105941,105942,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020234,4,1,1,TRUE,2,TP1:106157; TP2:106156; TP3:106156; TP4:106157,106157,106156,106156,106157,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020235,3,1,1,TRUE,2,TP1:106102; TP2:106101; TP4:106101,106102,106101,NA,106101,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020241,2,1,1,TRUE,2,TP1:106164; TP4:106166,106164,NA,NA,106166,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020245,2,1,1,TRUE,2,TP1:106180; TP2:106178,106180,106178,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020252,4,1,1,TRUE,3,TP1:106200; TP2:106201; TP3:106199; TP4:106199,106200,106201,106199,106199,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020286,2,1,1,TRUE,2,TP1:106355; TP2:106356,106355,106356,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020318,3,1,1,TRUE,2,TP1:106549; TP2:106549; TP3:106547,106549,106549,106547,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020431,2,1,1,TRUE,2,TP2:107089; TP4:107090,NA,107089,NA,107090,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020446,2,1,1,TRUE,2,TP1:107158; TP2:107159,107158,107159,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020557,3,1,1,TRUE,2,TP1:107934; TP2:107933; TP3:107934,107934,107933,107934,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020667,3,1,1,TRUE,2,TP2:108529; TP3:108532; TP4:108532,NA,108529,108532,108532,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020673,4,1,1,TRUE,2,TP1:108558; TP2:108557; TP3:108557; TP4:108557,108558,108557,108557,108557,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020714,3,1,1,TRUE,2,TP1:108686; TP3:108685; TP4:108685,108686,NA,108685,108685,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020720,4,0.75,0.9375,TRUE,2,TP1:108711; TP2:108711; TP3:108711; TP4:108712,108711,108711,108711,108712,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020727,2,1,1,TRUE,2,TP1:108739; TP4:108738,108739,NA,NA,108738,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020757,2,1,1,TRUE,2,TP2:108841; TP4:108842,NA,108841,NA,108842,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020766,4,1,1,TRUE,2,TP1:108874; TP2:108874; TP3:108874; TP4:108871,108874,108874,108874,108871,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020775,4,1,1,TRUE,2,TP1:108916; TP2:108916; TP3:108916; TP4:108915,108916,108916,108916,108915,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020828,4,1,1,TRUE,2,TP1:109149; TP2:109149; TP3:109149; TP4:109148,109149,109149,109149,109148,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020850,4,1,1,TRUE,2,TP1:109256; TP2:109257; TP3:109257; TP4:109257,109256,109257,109257,109257,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020885,4,1,1,TRUE,2,TP1:109579; TP2:109578; TP3:109579; TP4:109578,109579,109578,109579,109578,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020902,3,1,1,TRUE,2,TP1:109338; TP2:109339; TP4:109339,109338,109339,NA,109339,Timepoint-Coordinated
