species,gene_id,n_timepoints,min_consensus,mean_consensus,all_high_consensus,n_distinct_consensus,consensus_by_tp,tp1_exon,tp2_exon,tp3_exon,tp4_exon,shift_category
Acropora pulchra,FUN_019006,4,1,1,TRUE,2,TP1:89620; TP2:89622; TP3:89622; TP4:89620,89620,89622,89622,89620,Timepoint-Coordinated
Acropora pulchra,FUN_019021,4,0.7,0.725,TRUE,2,TP1:89676; TP2:89675; TP3:89675; TP4:89676,89676,89675,89675,89676,Timepoint-Coordinated
Acropora pulchra,FUN_019046,3,1,1,TRUE,2,TP2:89740; TP3:89740; TP4:89741,NA,89740,89740,89741,Timepoint-Coordinated
Acropora pulchra,FUN_019063,3,1,1,TRUE,2,TP1:89782; TP2:89781; TP4:89782,89782,89781,NA,89782,Timepoint-Coordinated
Acropora pulchra,FUN_019065,4,0.75,0.9375,TRUE,2,TP1:89785; TP2:89785; TP3:89787; TP4:89785,89785,89785,89787,89785,Timepoint-Coordinated
Acropora pulchra,FUN_019072,2,1,1,TRUE,2,TP2:89804; TP3:89803,NA,89804,89803,NA,Timepoint-Coordinated
Acropora pulchra,FUN_019077,2,1,1,TRUE,2,TP1:89814; TP2:89815,89814,89815,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_019078,3,1,1,TRUE,2,TP1:89816; TP3:89817; TP4:89817,89816,NA,89817,89817,Timepoint-Coordinated
Acropora pulchra,FUN_019084,3,1,1,TRUE,2,TP1:89831; TP2:89829; TP3:89829,89831,89829,89829,NA,Timepoint-Coordinated
Acropora pulchra,FUN_019088,2,1,1,TRUE,2,TP1:89843; TP2:89845,89843,89845,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_019109,4,0.75,0.9375,TRUE,2,TP1:89900; TP2:89900; TP3:89901; TP4:89901,89900,89900,89901,89901,Timepoint-Coordinated
Acropora pulchra,FUN_019214,2,1,1,TRUE,2,TP1:90262; TP2:90263,90262,90263,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_019263,4,1,1,TRUE,2,TP1:90378; TP2:90377; TP3:90378; TP4:90377,90378,90377,90378,90377,Timepoint-Coordinated
Acropora pulchra,FUN_019310,3,1,1,TRUE,2,TP1:90480; TP2:90479; TP4:90480,90480,90479,NA,90480,Timepoint-Coordinated
Acropora pulchra,FUN_019370,2,1,1,TRUE,2,TP2:90741; TP4:90740,NA,90741,NA,90740,Timepoint-Coordinated
Acropora pulchra,FUN_019375,2,1,1,TRUE,2,TP2:90768; TP3:90769,NA,90768,90769,NA,Timepoint-Coordinated
Acropora pulchra,FUN_019400,2,1,1,TRUE,2,TP1:90826; TP2:90825,90826,90825,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_019453,3,1,1,TRUE,2,TP2:90969; TP3:90969; TP4:90970,NA,90969,90969,90970,Timepoint-Coordinated
Acropora pulchra,FUN_019461,4,1,1,TRUE,2,TP1:90986; TP2:90988; TP3:90986; TP4:90986,90986,90988,90986,90986,Timepoint-Coordinated
Acropora pulchra,FUN_019462,4,1,1,TRUE,2,TP1:90991; TP2:90991; TP3:90990; TP4:90991,90991,90991,90990,90991,Timepoint-Coordinated
Acropora pulchra,FUN_019487,4,1,1,TRUE,2,TP1:91067; TP2:91068; TP3:91067; TP4:91068,91067,91068,91067,91068,Timepoint-Coordinated
Acropora pulchra,FUN_019491,3,1,1,TRUE,2,TP1:91078; TP3:91078; TP4:91077,91078,NA,91078,91077,Timepoint-Coordinated
Acropora pulchra,FUN_019497,3,0.75,0.9166666666666666,TRUE,2,TP1:91089; TP2:91089; TP4:91087,91089,91089,NA,91087,Timepoint-Coordinated
Acropora pulchra,FUN_019567,2,1,1,TRUE,2,TP1:91310; TP3:91313,91310,NA,91313,NA,Timepoint-Coordinated
Acropora pulchra,FUN_019585,4,1,1,TRUE,2,TP1:91361; TP2:91361; TP3:91361; TP4:91362,91361,91361,91361,91362,Timepoint-Coordinated
Acropora pulchra,FUN_019596,2,1,1,TRUE,2,TP2:91385; TP3:91384,NA,91385,91384,NA,Timepoint-Coordinated
Acropora pulchra,FUN_019724,3,1,1,TRUE,2,TP2:91652; TP3:91652; TP4:91653,NA,91652,91652,91653,Timepoint-Coordinated
Acropora pulchra,FUN_019728,4,0.7142857142857143,0.8785714285714286,TRUE,2,TP1:91664; TP2:91663; TP3:91663; TP4:91663,91664,91663,91663,91663,Timepoint-Coordinated
Acropora pulchra,FUN_019761,2,1,1,TRUE,2,TP3:91726; TP4:91725,NA,NA,91726,91725,Timepoint-Coordinated
Acropora pulchra,FUN_019867,2,1,1,TRUE,2,TP2:91896; TP3:91894,NA,91896,91894,NA,Timepoint-Coordinated
Acropora pulchra,FUN_019877,3,1,1,TRUE,2,TP1:91921; TP2:91922; TP3:91922,91921,91922,91922,NA,Timepoint-Coordinated
Acropora pulchra,FUN_020012,2,1,1,TRUE,2,TP3:92060; TP4:92059,NA,NA,92060,92059,Timepoint-Coordinated
Acropora pulchra,FUN_020025,3,1,1,TRUE,2,TP1:92075; TP2:92075; TP3:92074,92075,92075,92074,NA,Timepoint-Coordinated
Acropora pulchra,FUN_020092,2,1,1,TRUE,2,TP1:92155; TP2:92156,92155,92156,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_020597,4,1,1,TRUE,2,TP1:92700; TP2:92701; TP3:92701; TP4:92701,92700,92701,92701,92701,Timepoint-Coordinated
Acropora pulchra,FUN_020737,2,1,1,TRUE,2,TP1:92891; TP2:92892,92891,92892,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_020750,2,1,1,TRUE,2,TP1:92919; TP2:92920,92919,92920,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_020769,2,1,1,TRUE,2,TP2:92970; TP3:92969,NA,92970,92969,NA,Timepoint-Coordinated
Acropora pulchra,FUN_020805,4,1,1,TRUE,2,TP1:93057; TP2:93057; TP3:93058; TP4:93057,93057,93057,93058,93057,Timepoint-Coordinated
Acropora pulchra,FUN_020816,3,1,1,TRUE,2,TP1:93087; TP3:93088; TP4:93088,93087,NA,93088,93088,Timepoint-Coordinated
Acropora pulchra,FUN_020818,3,1,1,TRUE,2,TP2:93091; TP3:93092; TP4:93092,NA,93091,93092,93092,Timepoint-Coordinated
Acropora pulchra,FUN_020831,2,1,1,TRUE,2,TP2:93121; TP3:93122,NA,93121,93122,NA,Timepoint-Coordinated
Acropora pulchra,FUN_020871,4,1,1,TRUE,2,TP1:93245; TP2:93244; TP3:93244; TP4:93245,93245,93244,93244,93245,Timepoint-Coordinated
Acropora pulchra,FUN_020878,3,1,1,TRUE,2,TP1:93261; TP2:93262; TP3:93261,93261,93262,93261,NA,Timepoint-Coordinated
Acropora pulchra,FUN_020883,4,0.7142857142857143,0.7619047619047619,TRUE,2,TP1:93281; TP2:93280; TP3:93280; TP4:93281,93281,93280,93280,93281,Timepoint-Coordinated
Acropora pulchra,FUN_020885,3,1,1,TRUE,2,TP1:93285; TP2:93284; TP4:93285,93285,93284,NA,93285,Timepoint-Coordinated
Acropora pulchra,FUN_020887,2,1,1,TRUE,2,TP1:93288; TP3:93287,93288,NA,93287,NA,Timepoint-Coordinated
Acropora pulchra,FUN_020900,2,1,1,TRUE,2,TP2:93320; TP4:93321,NA,93320,NA,93321,Timepoint-Coordinated
Acropora pulchra,FUN_020904,3,1,1,TRUE,2,TP2:93335; TP3:93336; TP4:93336,NA,93335,93336,93336,Timepoint-Coordinated
Acropora pulchra,FUN_020905,2,1,1,TRUE,2,TP2:93339; TP3:93338,NA,93339,93338,NA,Timepoint-Coordinated
Acropora pulchra,FUN_020912,3,1,1,TRUE,2,TP1:93355; TP2:93356; TP4:93355,93355,93356,NA,93355,Timepoint-Coordinated
Acropora pulchra,FUN_020917,3,1,1,TRUE,2,TP1:93368; TP3:93369; TP4:93369,93368,NA,93369,93369,Timepoint-Coordinated
Acropora pulchra,FUN_020933,3,1,1,TRUE,2,TP1:93427; TP2:93428; TP4:93427,93427,93428,NA,93427,Timepoint-Coordinated
Acropora pulchra,FUN_020958,3,1,1,TRUE,2,TP1:93491; TP2:93492; TP3:93492,93491,93492,93492,NA,Timepoint-Coordinated
Acropora pulchra,FUN_020998,4,1,1,TRUE,2,TP1:93589; TP2:93589; TP3:93590; TP4:93590,93589,93589,93590,93590,Timepoint-Coordinated
Acropora pulchra,FUN_020999,4,1,1,TRUE,2,TP1:93591; TP2:93592; TP3:93592; TP4:93592,93591,93592,93592,93592,Timepoint-Coordinated
Acropora pulchra,FUN_021013,4,0.75,0.9375,TRUE,2,TP1:93630; TP2:93631; TP3:93631; TP4:93630,93630,93631,93631,93630,Timepoint-Coordinated
Acropora pulchra,FUN_021071,2,1,1,TRUE,2,TP2:93792; TP3:93791,NA,93792,93791,NA,Timepoint-Coordinated
Acropora pulchra,FUN_021075,2,1,1,TRUE,2,TP1:93798; TP4:93797,93798,NA,NA,93797,Timepoint-Coordinated
Acropora pulchra,FUN_021080,3,1,1,TRUE,2,TP1:93813; TP2:93812; TP3:93813,93813,93812,93813,NA,Timepoint-Coordinated
Acropora pulchra,FUN_021085,2,1,1,TRUE,2,TP1:93825; TP3:93826,93825,NA,93826,NA,Timepoint-Coordinated
Acropora pulchra,FUN_021090,3,1,1,TRUE,2,TP1:93839; TP2:93839; TP3:93838,93839,93839,93838,NA,Timepoint-Coordinated
Acropora pulchra,FUN_021116,3,1,1,TRUE,2,TP1:93913; TP2:93915; TP3:93915,93913,93915,93915,NA,Timepoint-Coordinated
Acropora pulchra,FUN_021142,3,1,1,TRUE,2,TP1:93975; TP2:93976; TP3:93975,93975,93976,93975,NA,Timepoint-Coordinated
Acropora pulchra,FUN_021173,3,1,1,TRUE,2,TP1:94055; TP3:94056; TP4:94056,94055,NA,94056,94056,Timepoint-Coordinated
Acropora pulchra,FUN_021180,2,1,1,TRUE,2,TP1:94079; TP2:94075,94079,94075,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_021191,3,1,1,TRUE,2,TP2:94107; TP3:94106; TP4:94106,NA,94107,94106,94106,Timepoint-Coordinated
Acropora pulchra,FUN_021793,3,1,1,TRUE,2,TP1:94884; TP3:94884; TP4:94883,94884,NA,94884,94883,Timepoint-Coordinated
Acropora pulchra,FUN_021828,3,1,1,TRUE,2,TP1:94980; TP2:94979; TP3:94979,94980,94979,94979,NA,Timepoint-Coordinated
Acropora pulchra,FUN_021834,3,1,1,TRUE,2,TP1:94994; TP3:94995; TP4:94995,94994,NA,94995,94995,Timepoint-Coordinated
Acropora pulchra,FUN_021936,4,1,1,TRUE,2,TP1:95157; TP2:95158; TP3:95158; TP4:95158,95157,95158,95158,95158,Timepoint-Coordinated
Acropora pulchra,FUN_021944,2,1,1,TRUE,2,TP2:95219; TP3:95220,NA,95219,95220,NA,Timepoint-Coordinated
Acropora pulchra,FUN_021965,4,0.8,0.95,TRUE,2,TP1:95265; TP2:95266; TP3:95266; TP4:95266,95265,95266,95266,95266,Timepoint-Coordinated
Acropora pulchra,FUN_021975,3,1,1,TRUE,2,TP1:95285; TP2:95284; TP3:95285,95285,95284,95285,NA,Timepoint-Coordinated
Acropora pulchra,FUN_021980,3,1,1,TRUE,2,TP1:95304; TP2:95302; TP3:95302,95304,95302,95302,NA,Timepoint-Coordinated
Acropora pulchra,FUN_021984,4,1,1,TRUE,2,TP1:95314; TP2:95313; TP3:95313; TP4:95314,95314,95313,95313,95314,Timepoint-Coordinated
Acropora pulchra,FUN_022023,2,1,1,TRUE,2,TP1:95508; TP4:95507,95508,NA,NA,95507,Timepoint-Coordinated
Acropora pulchra,FUN_022059,4,0.7,0.8,TRUE,2,TP1:95790; TP2:95788; TP3:95788; TP4:95788,95790,95788,95788,95788,Timepoint-Coordinated
Acropora pulchra,FUN_022062,3,1,1,TRUE,2,TP1:95802; TP2:95800; TP4:95802,95802,95800,NA,95802,Timepoint-Coordinated
Acropora pulchra,FUN_022099,4,0.8333333333333334,0.9583333333333334,TRUE,2,TP1:96025; TP2:96025; TP3:96024; TP4:96024,96025,96025,96024,96024,Timepoint-Coordinated
Acropora pulchra,FUN_022100,3,1,1,TRUE,2,TP1:96027; TP2:96026; TP3:96027,96027,96026,96027,NA,Timepoint-Coordinated
Acropora pulchra,FUN_022139,3,1,1,TRUE,2,TP2:96206; TP3:96206; TP4:96207,NA,96206,96206,96207,Timepoint-Coordinated
Acropora pulchra,FUN_022142,3,1,1,TRUE,2,TP1:96213; TP2:96214; TP3:96213,96213,96214,96213,NA,Timepoint-Coordinated
Acropora pulchra,FUN_022220,4,0.7,0.7749999999999999,TRUE,2,TP1:96638; TP2:96637; TP3:96638; TP4:96638,96638,96637,96638,96638,Timepoint-Coordinated
Acropora pulchra,FUN_022360,3,1,1,TRUE,3,TP1:97613; TP2:97614; TP3:97612,97613,97614,97612,NA,Timepoint-Coordinated
Acropora pulchra,FUN_022381,4,1,1,TRUE,2,TP1:97769; TP2:97769; TP3:97771; TP4:97771,97769,97769,97771,97771,Timepoint-Coordinated
Acropora pulchra,FUN_022399,3,1,1,TRUE,2,TP1:97911; TP2:97910; TP4:97911,97911,97910,NA,97911,Timepoint-Coordinated
Acropora pulchra,FUN_022460,2,1,1,TRUE,2,TP1:98283; TP2:98280,98283,98280,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_022483,4,0.7,0.8,TRUE,2,TP1:98407; TP2:98408; TP3:98408; TP4:98407,98407,98408,98408,98407,Timepoint-Coordinated
Acropora pulchra,FUN_022518,4,0.8,0.8500000000000001,TRUE,2,TP1:98833; TP2:98832; TP3:98832; TP4:98833,98833,98832,98832,98833,Timepoint-Coordinated
Acropora pulchra,FUN_022555,4,1,1,TRUE,2,TP1:99084; TP2:99084; TP3:99083; TP4:99084,99084,99084,99083,99084,Timepoint-Coordinated
Acropora pulchra,FUN_022582,4,0.7,0.75,TRUE,2,TP1:99222; TP2:99223; TP3:99223; TP4:99222,99222,99223,99223,99222,Timepoint-Coordinated
Acropora pulchra,FUN_022650,4,0.75,0.9375,TRUE,2,TP1:99867; TP2:99866; TP3:99867; TP4:99866,99867,99866,99867,99866,Timepoint-Coordinated
Acropora pulchra,FUN_022680,4,1,1,TRUE,2,TP1:100216; TP2:100215; TP3:100215; TP4:100215,100216,100215,100215,100215,Timepoint-Coordinated
Acropora pulchra,FUN_022815,4,0.7,0.8,TRUE,2,TP1:100871; TP2:100872; TP3:100872; TP4:100871,100871,100872,100872,100871,Timepoint-Coordinated
Acropora pulchra,FUN_022878,4,0.7,0.85,TRUE,2,TP1:101339; TP2:101340; TP3:101339; TP4:101339,101339,101340,101339,101339,Timepoint-Coordinated
Acropora pulchra,FUN_022884,4,1,1,TRUE,3,TP1:101363; TP2:101361; TP3:101362; TP4:101363,101363,101361,101362,101363,Timepoint-Coordinated
Acropora pulchra,FUN_022885,4,1,1,TRUE,2,TP1:101365; TP2:101365; TP3:101366; TP4:101366,101365,101365,101366,101366,Timepoint-Coordinated
Acropora pulchra,FUN_022907,4,0.7,0.825,TRUE,2,TP1:101530; TP2:101529; TP3:101529; TP4:101530,101530,101529,101529,101530,Timepoint-Coordinated
Acropora pulchra,FUN_022973,3,1,1,TRUE,2,TP1:102012; TP2:102013; TP3:102013,102012,102013,102013,NA,Timepoint-Coordinated
Acropora pulchra,FUN_023030,4,1,1,TRUE,2,TP1:102342; TP2:102343; TP3:102342; TP4:102342,102342,102343,102342,102342,Timepoint-Coordinated
Acropora pulchra,FUN_023148,3,1,1,TRUE,2,TP2:103248; TP3:103248; TP4:103247,NA,103248,103248,103247,Timepoint-Coordinated
Acropora pulchra,FUN_023201,4,0.7,0.8125,TRUE,2,TP1:103732; TP2:103733; TP3:103733; TP4:103732,103732,103733,103733,103732,Timepoint-Coordinated
Acropora pulchra,FUN_023205,4,0.7,0.775,TRUE,2,TP1:103751; TP2:103749; TP3:103751; TP4:103751,103751,103749,103751,103751,Timepoint-Coordinated
Acropora pulchra,FUN_023361,4,0.7,0.725,TRUE,2,TP1:104765; TP2:104765; TP3:104765; TP4:104764,104765,104765,104765,104764,Timepoint-Coordinated
Acropora pulchra,FUN_023385,2,1,1,TRUE,2,TP1:104920; TP4:104919,104920,NA,NA,104919,Timepoint-Coordinated
Acropora pulchra,FUN_023425,4,1,1,TRUE,2,TP1:105216; TP2:105216; TP3:105217; TP4:105216,105216,105216,105217,105216,Timepoint-Coordinated
Acropora pulchra,FUN_023460,2,1,1,TRUE,2,TP3:105464; TP4:105465,NA,NA,105464,105465,Timepoint-Coordinated
Acropora pulchra,FUN_023463,4,1,1,TRUE,2,TP1:105469; TP2:105469; TP3:105471; TP4:105469,105469,105469,105471,105469,Timepoint-Coordinated
Acropora pulchra,FUN_023490,4,1,1,TRUE,2,TP1:105566; TP2:105567; TP3:105566; TP4:105566,105566,105567,105566,105566,Timepoint-Coordinated
Acropora pulchra,FUN_023536,4,1,1,TRUE,2,TP1:105859; TP2:105859; TP3:105859; TP4:105860,105859,105859,105859,105860,Timepoint-Coordinated
Acropora pulchra,FUN_023540,4,1,1,TRUE,2,TP1:105866; TP2:105867; TP3:105866; TP4:105867,105866,105867,105866,105867,Timepoint-Coordinated
Acropora pulchra,FUN_023541,4,1,1,TRUE,2,TP1:105871; TP2:105870; TP3:105870; TP4:105870,105871,105870,105870,105870,Timepoint-Coordinated
Acropora pulchra,FUN_023542,4,0.75,0.825,TRUE,2,TP1:105877; TP2:105876; TP3:105876; TP4:105876,105877,105876,105876,105876,Timepoint-Coordinated
Acropora pulchra,FUN_023665,4,0.75,0.9375,TRUE,2,TP1:106625; TP2:106625; TP3:106626; TP4:106626,106625,106625,106626,106626,Timepoint-Coordinated
Acropora pulchra,FUN_023678,4,1,1,TRUE,2,TP1:106707; TP2:106707; TP3:106708; TP4:106707,106707,106707,106708,106707,Timepoint-Coordinated
Acropora pulchra,FUN_023683,4,0.75,0.8080357142857143,TRUE,2,TP1:106733; TP2:106732; TP3:106733; TP4:106733,106733,106732,106733,106733,Timepoint-Coordinated
Acropora pulchra,FUN_023776,2,1,1,TRUE,2,TP1:106988; TP2:106989,106988,106989,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_023841,2,1,1,TRUE,2,TP1:107172; TP2:107171,107172,107171,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_023843,3,1,1,TRUE,2,TP1:107176; TP2:107175; TP4:107175,107176,107175,NA,107175,Timepoint-Coordinated
Acropora pulchra,FUN_023854,3,1,1,TRUE,2,TP1:107198; TP2:107198; TP3:107197,107198,107198,107197,NA,Timepoint-Coordinated
Acropora pulchra,FUN_023876,2,1,1,TRUE,2,TP2:107252; TP3:107251,NA,107252,107251,NA,Timepoint-Coordinated
Acropora pulchra,FUN_023905,2,1,1,TRUE,2,TP1:107321; TP2:107319,107321,107319,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_023910,2,1,1,TRUE,2,TP1:107333; TP3:107332,107333,NA,107332,NA,Timepoint-Coordinated
Acropora pulchra,FUN_023954,4,0.7,0.8,TRUE,2,TP1:107673; TP2:107676; TP3:107673; TP4:107673,107673,107676,107673,107673,Timepoint-Coordinated
Acropora pulchra,FUN_024020,4,0.7,0.8,TRUE,2,TP1:108190; TP2:108186; TP3:108190; TP4:108190,108190,108186,108190,108190,Timepoint-Coordinated
Acropora pulchra,FUN_024166,4,0.75,0.9375,TRUE,2,TP1:109105; TP2:109105; TP3:109104; TP4:109105,109105,109105,109104,109105,Timepoint-Coordinated
Acropora pulchra,FUN_024208,4,0.7,0.825,TRUE,2,TP1:109325; TP2:109328; TP3:109328; TP4:109325,109325,109328,109328,109325,Timepoint-Coordinated
Acropora pulchra,FUN_024227,4,1,1,TRUE,2,TP1:109455; TP2:109454; TP3:109455; TP4:109455,109455,109454,109455,109455,Timepoint-Coordinated
Acropora pulchra,FUN_024303,3,0.75,0.9166666666666666,TRUE,2,TP1:109676; TP2:109677; TP3:109677,109676,109677,109677,NA,Timepoint-Coordinated
Acropora pulchra,FUN_024453,4,0.7,0.8,TRUE,2,TP1:110726; TP2:110725; TP3:110725; TP4:110726,110726,110725,110725,110726,Timepoint-Coordinated
Acropora pulchra,FUN_024470,4,0.7,0.825,TRUE,2,TP1:110826; TP2:110827; TP3:110826; TP4:110826,110826,110827,110826,110826,Timepoint-Coordinated
Acropora pulchra,FUN_024580,2,1,1,TRUE,2,TP2:111497; TP4:111498,NA,111497,NA,111498,Timepoint-Coordinated
Acropora pulchra,FUN_024586,3,1,1,TRUE,2,TP1:111517; TP3:111516; TP4:111517,111517,NA,111516,111517,Timepoint-Coordinated
Acropora pulchra,FUN_024638,4,1,1,TRUE,2,TP1:111770; TP2:111768; TP3:111768; TP4:111770,111770,111768,111768,111770,Timepoint-Coordinated
Acropora pulchra,FUN_024654,2,1,1,TRUE,2,TP2:111839; TP3:111840,NA,111839,111840,NA,Timepoint-Coordinated
Acropora pulchra,FUN_024728,3,1,1,TRUE,2,TP1:112203; TP2:112202; TP3:112202,112203,112202,112202,NA,Timepoint-Coordinated
Acropora pulchra,FUN_024767,3,0.75,0.9166666666666666,TRUE,2,TP1:112387; TP2:112387; TP3:112386,112387,112387,112386,NA,Timepoint-Coordinated
Acropora pulchra,FUN_024791,4,1,1,TRUE,2,TP1:112536; TP2:112536; TP3:112535; TP4:112536,112536,112536,112535,112536,Timepoint-Coordinated
Acropora pulchra,FUN_024822,2,1,1,TRUE,2,TP2:112690; TP4:112688,NA,112690,NA,112688,Timepoint-Coordinated
Acropora pulchra,FUN_024829,3,1,1,TRUE,2,TP1:112705; TP2:112705; TP3:112702,112705,112705,112702,NA,Timepoint-Coordinated
Acropora pulchra,FUN_024835,3,1,1,TRUE,2,TP1:112724; TP3:112724; TP4:112723,112724,NA,112724,112723,Timepoint-Coordinated
Acropora pulchra,FUN_024838,4,1,1,TRUE,2,TP1:112728; TP2:112729; TP3:112729; TP4:112729,112728,112729,112729,112729,Timepoint-Coordinated
Acropora pulchra,FUN_024855,2,1,1,TRUE,2,TP1:112782; TP2:112781,112782,112781,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_024880,2,1,1,TRUE,2,TP1:112892; TP2:112893,112892,112893,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_024884,4,0.75,0.8958333333333334,TRUE,2,TP1:112901; TP2:112902; TP3:112901; TP4:112901,112901,112902,112901,112901,Timepoint-Coordinated
Acropora pulchra,FUN_024910,4,0.7,0.825,TRUE,2,TP1:113074; TP2:113075; TP3:113074; TP4:113074,113074,113075,113074,113074,Timepoint-Coordinated
Acropora pulchra,FUN_024917,2,1,1,TRUE,2,TP2:113085; TP4:113086,NA,113085,NA,113086,Timepoint-Coordinated
Acropora pulchra,FUN_024954,2,1,1,TRUE,2,TP2:113240; TP3:113241,NA,113240,113241,NA,Timepoint-Coordinated
Acropora pulchra,FUN_024959,4,0.8333333333333334,0.9583333333333334,TRUE,2,TP1:113251; TP2:113251; TP3:113250; TP4:113251,113251,113251,113250,113251,Timepoint-Coordinated
Acropora pulchra,FUN_024964,3,1,1,TRUE,2,TP1:113260; TP2:113259; TP3:113260,113260,113259,113260,NA,Timepoint-Coordinated
Acropora pulchra,FUN_024969,3,1,1,TRUE,2,TP1:113269; TP2:113269; TP4:113270,113269,113269,NA,113270,Timepoint-Coordinated
Acropora pulchra,FUN_024978,3,1,1,TRUE,2,TP2:113288; TP3:113288; TP4:113287,NA,113288,113288,113287,Timepoint-Coordinated
Acropora pulchra,FUN_024986,4,0.8,0.95,TRUE,2,TP1:113304; TP2:113303; TP3:113304; TP4:113304,113304,113303,113304,113304,Timepoint-Coordinated
Acropora pulchra,FUN_024987,3,1,1,TRUE,2,TP1:113305; TP2:113306; TP3:113306,113305,113306,113306,NA,Timepoint-Coordinated
Acropora pulchra,FUN_025011,3,0.75,0.9166666666666666,TRUE,2,TP1:113354; TP2:113354; TP3:113353,113354,113354,113353,NA,Timepoint-Coordinated
Acropora pulchra,FUN_025020,4,0.7142857142857143,0.8660714285714286,TRUE,2,TP1:113371; TP2:113371; TP3:113371; TP4:113372,113371,113371,113371,113372,Timepoint-Coordinated
Acropora pulchra,FUN_025037,3,1,1,TRUE,2,TP1:113438; TP3:113437; TP4:113438,113438,NA,113437,113438,Timepoint-Coordinated
Acropora pulchra,FUN_025098,4,0.7,0.7749999999999999,TRUE,2,TP1:113602; TP2:113599; TP3:113602; TP4:113602,113602,113599,113602,113602,Timepoint-Coordinated
Acropora pulchra,FUN_025127,2,1,1,TRUE,2,TP1:113722; TP2:113723,113722,113723,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_025142,4,1,1,TRUE,2,TP1:113766; TP2:113766; TP3:113765; TP4:113766,113766,113766,113765,113766,Timepoint-Coordinated
Acropora pulchra,FUN_025148,4,1,1,TRUE,2,TP1:113797; TP2:113796; TP3:113796; TP4:113796,113797,113796,113796,113796,Timepoint-Coordinated
Acropora pulchra,FUN_025195,4,0.75,0.9375,TRUE,2,TP1:113901; TP2:113901; TP3:113901; TP4:113902,113901,113901,113901,113902,Timepoint-Coordinated
Acropora pulchra,FUN_025274,4,1,1,TRUE,4,TP1:114264; TP2:114263; TP3:114262; TP4:114265,114264,114263,114262,114265,Timepoint-Coordinated
Acropora pulchra,FUN_025276,4,0.75,0.875,TRUE,2,TP1:114269; TP2:114270; TP3:114270; TP4:114270,114269,114270,114270,114270,Timepoint-Coordinated
Acropora pulchra,FUN_025286,4,1,1,TRUE,2,TP1:114296; TP2:114297; TP3:114297; TP4:114296,114296,114297,114297,114296,Timepoint-Coordinated
Acropora pulchra,FUN_025287,4,1,1,TRUE,2,TP1:114300; TP2:114302; TP3:114302; TP4:114300,114300,114302,114302,114300,Timepoint-Coordinated
Acropora pulchra,FUN_025417,2,1,1,TRUE,2,TP3:115127; TP4:115126,NA,NA,115127,115126,Timepoint-Coordinated
Acropora pulchra,FUN_025470,3,1,1,TRUE,2,TP1:115446; TP2:115448; TP3:115446,115446,115448,115446,NA,Timepoint-Coordinated
Acropora pulchra,FUN_025489,3,1,1,TRUE,2,TP1:115550; TP2:115548; TP3:115548,115550,115548,115548,NA,Timepoint-Coordinated
Acropora pulchra,FUN_025634,4,0.8,0.95,TRUE,2,TP1:116432; TP2:116432; TP3:116432; TP4:116433,116432,116432,116432,116433,Timepoint-Coordinated
Acropora pulchra,FUN_025782,4,0.7,0.75,TRUE,2,TP1:117434; TP2:117439; TP3:117434; TP4:117434,117434,117439,117434,117434,Timepoint-Coordinated
Acropora pulchra,FUN_025802,4,0.7,0.775,TRUE,2,TP1:117531; TP2:117540; TP3:117531; TP4:117531,117531,117540,117531,117531,Timepoint-Coordinated
Acropora pulchra,FUN_025892,3,1,1,TRUE,2,TP2:118106; TP3:118106; TP4:118107,NA,118106,118106,118107,Timepoint-Coordinated
Acropora pulchra,FUN_025904,4,0.7142857142857143,0.7321428571428572,TRUE,2,TP1:118154; TP2:118153; TP3:118153; TP4:118154,118154,118153,118153,118154,Timepoint-Coordinated
Acropora pulchra,FUN_025939,4,0.7,0.75,TRUE,2,TP1:118520; TP2:118519; TP3:118520; TP4:118520,118520,118519,118520,118520,Timepoint-Coordinated
Acropora pulchra,FUN_025984,4,0.7,0.8,TRUE,2,TP1:118771; TP2:118770; TP3:118770; TP4:118771,118771,118770,118770,118771,Timepoint-Coordinated
Acropora pulchra,FUN_026080,4,0.7,0.7,TRUE,2,TP1:119744; TP2:119745; TP3:119744; TP4:119745,119744,119745,119744,119745,Timepoint-Coordinated
Acropora pulchra,FUN_026237,2,1,1,TRUE,2,TP2:120861; TP3:120860,NA,120861,120860,NA,Timepoint-Coordinated
Acropora pulchra,FUN_026251,3,1,1,TRUE,2,TP1:120938; TP2:120937; TP3:120938,120938,120937,120938,NA,Timepoint-Coordinated
