species,gene_id,n_samples,n_unique_exons,n_shifts,modal_exon,modal_fraction,shift_type
Acropora pulchra,FUN_000132,10,2,2,356,0.7,Minor shift
Acropora pulchra,FUN_000134,20,2,2,359,0.95,Rare shift
Acropora pulchra,FUN_000135,28,1,0,361,1,No shift
Acropora pulchra,FUN_000136,21,2,2,363,0.9523809523809523,Rare shift
Acropora pulchra,FUN_000138,27,1,0,365,1,No shift
Acropora pulchra,FUN_000139,5,2,2,367,0.6,Minor shift
Acropora pulchra,FUN_000140,10,2,5,370,0.6,Minor shift
Acropora pulchra,FUN_000141,31,1,0,371,1,No shift
Acropora pulchra,FUN_000142,33,2,12,373,0.7878787878787878,Minor shift
Acropora pulchra,FUN_000143,21,2,4,376,0.9047619047619048,Rare shift
Acropora pulchra,FUN_000145,32,2,2,379,0.96875,Rare shift
Acropora pulchra,FUN_000146,27,1,0,381,1,No shift
Acropora pulchra,FUN_000147,5,2,3,383,0.6,Minor shift
Acropora pulchra,FUN_000149,32,1,0,387,1,No shift
Acropora pulchra,FUN_000150,26,2,2,390,0.9615384615384616,Rare shift
Acropora pulchra,FUN_000151,18,2,7,392,0.7777777777777778,Minor shift
Acropora pulchra,FUN_000152,4,1,0,393,1,No shift
Acropora pulchra,FUN_000153,18,2,2,396,0.9444444444444444,Rare shift
Acropora pulchra,FUN_000154,5,2,3,397,0.6,Minor shift
Acropora pulchra,FUN_000155,18,2,2,400,0.8888888888888888,Minor shift
Acropora pulchra,FUN_000157,14,2,4,404,0.8571428571428571,Minor shift
Acropora pulchra,FUN_000158,5,2,1,405,0.8,Minor shift
Acropora pulchra,FUN_000159,18,2,6,408,0.8333333333333334,Minor shift
Acropora pulchra,FUN_000161,18,2,6,412,0.8333333333333334,Minor shift
Acropora pulchra,FUN_000163,17,2,4,416,0.8823529411764706,Minor shift
Acropora pulchra,FUN_000164,5,2,2,417,0.6,Minor shift
Acropora pulchra,FUN_000165,14,2,6,420,0.7857142857142857,Minor shift
Acropora pulchra,FUN_000166,4,1,0,421,1,No shift
Acropora pulchra,FUN_000167,16,2,4,424,0.875,Minor shift
Acropora pulchra,FUN_000168,5,2,2,425,0.8,Minor shift
Acropora pulchra,FUN_000169,13,2,2,428,0.9230769230769231,Rare shift
Acropora pulchra,FUN_000170,6,2,4,429,0.6666666666666666,Minor shift
Acropora pulchra,FUN_000171,15,2,4,432,0.8666666666666667,Minor shift
Acropora pulchra,FUN_000172,5,2,2,433,0.8,Minor shift
Acropora pulchra,FUN_000173,16,2,4,436,0.8125,Minor shift
Acropora pulchra,FUN_000174,6,1,0,437,1,No shift
Acropora pulchra,FUN_000175,16,2,6,440,0.75,Minor shift
Acropora pulchra,FUN_000177,17,2,7,444,0.7647058823529411,Minor shift
Acropora pulchra,FUN_000178,5,2,3,445,0.6,Minor shift
Acropora pulchra,FUN_000179,14,2,4,448,0.7857142857142857,Minor shift
Acropora pulchra,FUN_000181,32,1,0,451,1,No shift
Acropora pulchra,FUN_000184,40,2,16,456,0.65,Minor shift
Acropora pulchra,FUN_000185,40,5,8,486,0.9,Rare shift
Acropora pulchra,FUN_000186,40,3,20,487,0.55,Robust shift
Acropora pulchra,FUN_000187,6,2,2,499,0.8333333333333334,Minor shift
Acropora pulchra,FUN_000189,40,4,21,506,0.625,Minor shift
Acropora pulchra,FUN_000190,40,2,2,509,0.975,Rare shift
Acropora pulchra,FUN_000191,40,3,26,513,0.375,Robust shift
Acropora pulchra,FUN_000192,40,4,28,518,0.35,Robust shift
Acropora pulchra,FUN_000193,40,3,19,523,0.55,Robust shift
Acropora pulchra,FUN_000194,40,2,13,525,0.825,Minor shift
Acropora pulchra,FUN_000195,40,6,33,544,0.3,Robust shift
Acropora pulchra,FUN_000197,40,2,2,552,0.975,Rare shift
Acropora pulchra,FUN_000198,40,3,26,565,0.525,Robust shift
Acropora pulchra,FUN_000199,37,2,8,569,0.8918918918918919,Minor shift
Acropora pulchra,FUN_000200,35,11,31,576,0.22857142857142856,Robust shift
Acropora pulchra,FUN_000201,40,2,17,582,0.5,Robust shift
Acropora pulchra,FUN_000202,40,4,6,584,0.925,Rare shift
Acropora pulchra,FUN_000203,40,2,2,598,0.975,Rare shift
Acropora pulchra,FUN_000204,40,5,16,613,0.65,Minor shift
Acropora pulchra,FUN_000205,26,2,4,615,0.8846153846153846,Minor shift
Acropora pulchra,FUN_000206,40,2,19,616,0.65,Minor shift
Acropora pulchra,FUN_000207,31,4,20,621,0.41935483870967744,Robust shift
Acropora pulchra,FUN_000208,40,6,33,627,0.275,Robust shift
Acropora pulchra,FUN_000209,38,2,20,630,0.631578947368421,Minor shift
Acropora pulchra,FUN_000210,40,6,17,653,0.775,Minor shift
Acropora pulchra,FUN_000211,38,4,30,658,0.34210526315789475,Robust shift
Acropora pulchra,FUN_000212,40,7,22,676,0.525,Robust shift
Acropora pulchra,FUN_000213,40,7,19,677,0.65,Minor shift
Acropora pulchra,FUN_000215,40,6,17,689,0.75,Minor shift
Acropora pulchra,FUN_000216,40,3,12,710,0.85,Minor shift
Acropora pulchra,FUN_000217,40,8,31,727,0.4,Robust shift
Acropora pulchra,FUN_000219,40,5,13,756,0.775,Minor shift
Acropora pulchra,FUN_000220,32,8,27,768,0.3125,Robust shift
Acropora pulchra,FUN_000221,40,4,8,786,0.9,Rare shift
Acropora pulchra,FUN_000222,40,6,23,787,0.425,Robust shift
Acropora pulchra,FUN_000223,40,5,22,802,0.6,Minor shift
Acropora pulchra,FUN_000224,40,2,6,803,0.925,Rare shift
Acropora pulchra,FUN_000226,40,4,27,821,0.575,Robust shift
Acropora pulchra,FUN_000227,40,4,13,826,0.825,Minor shift
Acropora pulchra,FUN_000228,40,5,22,830,0.475,Robust shift
Acropora pulchra,FUN_000229,40,1,0,835,1,No shift
Acropora pulchra,FUN_000230,39,4,20,840,0.5641025641025641,Robust shift
Acropora pulchra,FUN_000231,40,2,17,842,0.525,Robust shift
Acropora pulchra,FUN_000232,40,6,30,883,0.375,Robust shift
Acropora pulchra,FUN_000233,40,2,18,885,0.625,Minor shift
Acropora pulchra,FUN_000234,27,5,23,889,0.2962962962962963,Robust shift
Acropora pulchra,FUN_000235,10,2,2,893,0.9,Rare shift
Acropora pulchra,FUN_000236,40,6,24,906,0.6,Minor shift
Acropora pulchra,FUN_000237,39,7,19,915,0.6666666666666666,Minor shift
Acropora pulchra,FUN_000238,40,10,34,916,0.225,Robust shift
Acropora pulchra,FUN_000239,40,3,10,932,0.875,Minor shift
Acropora pulchra,FUN_000240,40,2,23,935,0.525,Robust shift
Acropora pulchra,FUN_000242,40,3,15,941,0.75,Minor shift
Acropora pulchra,FUN_000243,40,5,30,942,0.275,Robust shift
Acropora pulchra,FUN_000244,30,7,17,952,0.36666666666666664,Robust shift
Acropora pulchra,FUN_000245,13,3,5,962,0.7692307692307693,Minor shift
Acropora pulchra,FUN_000246,29,3,16,965,0.5172413793103449,Robust shift
Acropora pulchra,FUN_000247,40,2,2,966,0.975,Rare shift
Acropora pulchra,FUN_000248,39,1,0,975,1,No shift
Acropora pulchra,FUN_000250,34,1,0,978,1,No shift
Acropora pulchra,FUN_000252,40,2,9,982,0.65,Minor shift
Acropora pulchra,FUN_000255,37,1,0,985,1,No shift
Acropora pulchra,FUN_000256,18,9,14,994,0.2777777777777778,Robust shift
Acropora pulchra,FUN_000257,31,3,14,1001,0.6774193548387096,Minor shift
Acropora pulchra,FUN_000259,40,2,15,1003,0.675,Minor shift
Acropora pulchra,FUN_000260,40,2,10,1005,0.875,Minor shift
Acropora pulchra,FUN_000261,40,3,10,1008,0.875,Minor shift
Acropora pulchra,FUN_000262,38,6,27,1014,0.42105263157894735,Robust shift
Acropora pulchra,FUN_000263,40,10,29,1034,0.55,Robust shift
Acropora pulchra,FUN_000264,40,2,4,1035,0.95,Rare shift
Acropora pulchra,FUN_000265,40,5,12,1043,0.8,Minor shift
Acropora pulchra,FUN_000266,40,7,28,1051,0.325,Robust shift
Acropora pulchra,FUN_000267,40,4,11,1059,0.85,Minor shift
Acropora pulchra,FUN_000268,40,5,22,1067,0.675,Minor shift
Acropora pulchra,FUN_000269,33,4,24,1070,0.45454545454545453,Robust shift
Acropora pulchra,FUN_000270,40,4,6,1073,0.925,Rare shift
Acropora pulchra,FUN_000271,40,1,0,1082,1,No shift
Acropora pulchra,FUN_000272,28,6,16,1086,0.5714285714285714,Robust shift
Acropora pulchra,FUN_000273,38,2,13,1092,0.6578947368421053,Minor shift
Acropora pulchra,FUN_000274,39,6,26,1098,0.38461538461538464,Robust shift
Acropora pulchra,FUN_000276,40,4,11,1100,0.825,Minor shift
Acropora pulchra,FUN_000277,40,2,4,1109,0.925,Rare shift
Acropora pulchra,FUN_000280,35,2,4,1112,0.8857142857142857,Minor shift
Acropora pulchra,FUN_000281,37,2,14,1114,0.7297297297297297,Minor shift
Acropora pulchra,FUN_000282,17,5,12,1117,0.47058823529411764,Robust shift
Acropora pulchra,FUN_000283,25,2,2,1123,0.96,Rare shift
Acropora pulchra,FUN_000284,40,6,28,1125,0.55,Robust shift
Acropora pulchra,FUN_000285,40,9,33,1131,0.175,Robust shift
Acropora pulchra,FUN_000286,40,2,12,1141,0.575,Robust shift
Acropora pulchra,FUN_000287,40,3,20,1145,0.575,Robust shift
Acropora pulchra,FUN_000288,40,6,32,1147,0.375,Robust shift
Acropora pulchra,FUN_000289,40,6,13,1168,0.8,Minor shift
Acropora pulchra,FUN_000290,39,1,0,1171,1,No shift
Acropora pulchra,FUN_000291,40,3,15,1174,0.775,Minor shift
Acropora pulchra,FUN_000292,40,2,14,1176,0.65,Minor shift
Acropora pulchra,FUN_000293,5,2,2,1183,0.6,Minor shift
Acropora pulchra,FUN_000294,32,3,9,1184,0.75,Minor shift
Acropora pulchra,FUN_000295,33,7,25,1194,0.5151515151515151,Robust shift
Acropora pulchra,FUN_000296,38,5,21,1202,0.5789473684210527,Robust shift
Acropora pulchra,FUN_000297,32,5,23,1210,0.4375,Robust shift
Acropora pulchra,FUN_000298,22,3,9,1213,0.6818181818181818,Minor shift
Acropora pulchra,FUN_000299,28,3,18,1218,0.5357142857142857,Robust shift
Acropora pulchra,FUN_000300,35,5,25,1222,0.34285714285714286,Robust shift
Acropora pulchra,FUN_000301,38,4,29,1228,0.4473684210526316,Robust shift
Acropora pulchra,FUN_000302,26,2,12,1230,0.6923076923076923,Minor shift
Acropora pulchra,FUN_000303,29,2,7,1231,0.7586206896551724,Minor shift
Acropora pulchra,FUN_000304,32,4,17,1235,0.46875,Robust shift
Acropora pulchra,FUN_000305,38,3,22,1241,0.4473684210526316,Robust shift
Acropora pulchra,FUN_000306,26,4,16,1245,0.5,Robust shift
Acropora pulchra,FUN_000307,39,2,10,1246,0.7948717948717948,Minor shift
Acropora pulchra,FUN_000311,25,3,6,1252,0.88,Minor shift
Acropora pulchra,FUN_000312,23,7,15,1255,0.30434782608695654,Robust shift
Acropora pulchra,FUN_000313,35,8,26,1268,0.22857142857142856,Robust shift
Acropora pulchra,FUN_000314,29,5,24,1275,0.3103448275862069,Robust shift
Acropora pulchra,FUN_000315,36,5,22,1281,0.5555555555555556,Robust shift
Acropora pulchra,FUN_000316,29,7,21,1289,0.4482758620689655,Robust shift
Acropora pulchra,FUN_000317,40,2,11,1292,0.825,Minor shift
Acropora pulchra,FUN_000318,40,5,18,1308,0.65,Minor shift
Acropora pulchra,FUN_000319,40,4,27,1311,0.575,Robust shift
Acropora pulchra,FUN_000320,40,5,28,1340,0.35,Robust shift
Acropora pulchra,FUN_000321,40,4,12,1343,0.75,Minor shift
Acropora pulchra,FUN_000322,40,6,30,1353,0.35,Robust shift
Acropora pulchra,FUN_000323,40,5,25,1376,0.55,Robust shift
Acropora pulchra,FUN_000324,39,2,15,1389,0.7435897435897436,Minor shift
Acropora pulchra,FUN_000325,18,2,6,1391,0.7222222222222222,Minor shift
Acropora pulchra,FUN_000326,31,4,18,1394,0.6451612903225806,Minor shift
Acropora pulchra,FUN_000327,40,9,28,1398,0.325,Robust shift
Acropora pulchra,FUN_000328,40,3,6,1415,0.925,Rare shift
Acropora pulchra,FUN_000329,40,4,21,1424,0.65,Minor shift
Acropora pulchra,FUN_000330,40,7,21,1425,0.675,Minor shift
Acropora pulchra,FUN_000332,13,2,8,1490,0.6923076923076923,Minor shift
Acropora pulchra,FUN_000334,40,4,21,1497,0.675,Minor shift
Acropora pulchra,FUN_000335,40,4,27,1503,0.45,Robust shift
