species,gene_id,timepoints_observed,consistent_exon_per_tp,different_exons_across_tp
Acropora pulchra,FUN_012992,4,TRUE,TRUE
Acropora pulchra,FUN_013016,2,TRUE,TRUE
Acropora pulchra,FUN_013063,4,TRUE,TRUE
Acropora pulchra,FUN_013124,3,TRUE,TRUE
Acropora pulchra,FUN_013312,3,TRUE,TRUE
Acropora pulchra,FUN_013432,3,TRUE,TRUE
Acropora pulchra,FUN_013434,4,TRUE,TRUE
Acropora pulchra,FUN_013479,2,TRUE,TRUE
Acropora pulchra,FUN_013526,4,TRUE,TRUE
Acropora pulchra,FUN_013564,2,TRUE,TRUE
Acropora pulchra,FUN_013565,3,TRUE,TRUE
Acropora pulchra,FUN_013566,4,TRUE,TRUE
Acropora pulchra,FUN_013568,2,TRUE,TRUE
Acropora pulchra,FUN_013678,2,TRUE,TRUE
Acropora pulchra,FUN_013717,3,TRUE,TRUE
Acropora pulchra,FUN_013718,3,TRUE,TRUE
Acropora pulchra,FUN_013720,3,TRUE,TRUE
Acropora pulchra,FUN_013721,3,TRUE,TRUE
Acropora pulchra,FUN_013754,4,TRUE,TRUE
Acropora pulchra,FUN_013776,3,TRUE,TRUE
Acropora pulchra,FUN_013779,4,TRUE,TRUE
Acropora pulchra,FUN_013780,4,TRUE,TRUE
Acropora pulchra,FUN_013817,2,TRUE,TRUE
Acropora pulchra,FUN_013875,2,TRUE,TRUE
Acropora pulchra,FUN_013877,3,TRUE,TRUE
Acropora pulchra,FUN_014049,3,TRUE,TRUE
Acropora pulchra,FUN_014067,2,TRUE,TRUE
Acropora pulchra,FUN_014068,4,TRUE,TRUE
Acropora pulchra,FUN_014099,3,TRUE,TRUE
Acropora pulchra,FUN_014144,3,TRUE,TRUE
Acropora pulchra,FUN_014155,2,TRUE,TRUE
Acropora pulchra,FUN_014220,4,TRUE,TRUE
Acropora pulchra,FUN_014228,4,TRUE,TRUE
Acropora pulchra,FUN_014236,2,TRUE,TRUE
Acropora pulchra,FUN_014245,2,TRUE,TRUE
Acropora pulchra,FUN_014278,3,TRUE,TRUE
Acropora pulchra,FUN_014314,4,TRUE,TRUE
