gene_id,n_samples,n_unique_exons,n_shifts,shift_type,TP1_predom_exon,TP2_predom_exon,TP3_predom_exon,TP4_predom_exon,TP1_mean_frac,TP2_mean_frac,TP3_mean_frac,TP4_mean_frac
gene-Pocillopora_meandrina_HIv1___TS.g26796.t1c,39,18,36,Robust shift,8149/8148/8150/8155/8177/8154,8148/8177/8173/8153/8149/8150/8166/8151/8169,8176/8148/8167/8156/8181/8149,8170/8177/8149/8148/8160/8175/8176,0.111,0.088,0.143,0.109
gene-Pocillopora_meandrina_HIv1___RNAseq.g17114.t1,38,17,36,Robust shift,191877/191889/191887/191879/191871/191888/191872,191876/191875/191879/191884/191885/191881/191878/191874,191890/191889/191871/191877/191874/191872,191880/191879/191882/191888/191884/191871/191876,0.23,0.198,0.257,0.263
gene-Pocillopora_meandrina_HIv1___RNAseq.g24660.t1,39,17,36,Robust shift,55377/55363/55366/55367/55362/55374/55375,55365/55375/55364/55379/55359/55370/55376/55382/55362,55384/55362/55360/55381/55359/55363,55359/55382/55364/55360/55379/55375,0.125,0.115,0.145,0.114
gene-Pocillopora_meandrina_HIv1___RNAseq.g24661.t1,39,17,36,Robust shift,55414/55447/55436/55450/55446/55441/55434/55442/55448,55444/55448/55435/55446/55443/55449/55447,55443/55440/55445/55429/55436/55444/55435/55441,55451/55445/55444/55441/55434/55450/55447,0.068,0.078,0.097,0.107
gene-Pocillopora_meandrina_HIv1___RNAseq.g13093.t1,38,16,36,Robust shift,94786/94787/94782/94783/94784/94788/94779,94772/94778/94769/94788/94780/94786/94787/94779,94785/94773/94783/94772/94781/94787/94774,94786/94784/94785/94771/94772,0.151,0.133,0.126,0.164
gene-Pocillopora_meandrina_HIv1___RNAseq.g14326.t1,38,15,36,Robust shift,92027/92038/92032/92033/92026/92039,92023/92037/92029/92032/92031/92030/92024/92038,92027/92023/92039/92024/92032,92034/92035/92030/92027/92042/92023,0.186,0.179,0.291,0.262
gene-Pocillopora_meandrina_HIv1___RNAseq.g17856.t1,38,15,36,Robust shift,208181/208175/208178/208185/208171/208186/208187,208171/208170/208172/208186/208189/208187/208179,208176/208177/208181/208187/208175/208171/208172/208170,208180/208171/208170/208183/208178/208181/208187,0.283,0.242,0.253,0.259
gene-Pocillopora_meandrina_HIv1___TS.g4858.t1,37,15,36,Robust shift,88767/88765/88761/88764/88754/88749/88750,88751/88758/88763/88753/88755/88766/88765/88764,88767/88766/88763/88749/88762/88765,88767/88766/88765/88758/88757/88755,0.154,0.198,0.227,0.196
gene-Pocillopora_meandrina_HIv1___TS.g7088.t1b,38,15,36,Robust shift,148859/148876/148863/148857/148873/148870,148875/148877/148873/148874/148853/148871,148874/148875/148873/148876/148877/148859/148866/148861/148856,148874/148876/148875/148869,0.194,0.207,0.316,0.194
gene-Pocillopora_meandrina_HIv1___RNAseq.g1950.t1,39,14,36,Robust shift,85645/85644/85646/85649/85650/85639/85628,85649/85641/85647/85650/85627/85646/85645/85634,85627/85649/85650/85646/85629/85637/85647,85627/85645/85646/85638/85650/85629,0.092,0.07,0.126,0.088
gene-Pocillopora_meandrina_HIv1___RNAseq.g21489.t1,38,14,36,Robust shift,4885/4862/4871/4861/4878/4875/4864,4861/4862/4864/4879/4872/4880/4878/4863,4863/4868/4864/4871/4873/4861/4862,4863/4882/4861/4880/4878/4862/4875/4864,0.203,0.24,0.228,0.271
gene-Pocillopora_meandrina_HIv1___RNAseq.g22262.t1,39,14,36,Robust shift,9503/9524/9521/9501/9502/9499/9500/9516,9502/9503/9500/9497/9521/9501/9505,9526/9506/9501/9507/9502/9499/9503,9502/9503/9501/9498/9521/9507,0.102,0.096,0.086,0.131
gene-Pocillopora_meandrina_HIv1___RNAseq.g8276.t1,38,14,36,Robust shift,101424/101407/101417/101419/101416/101428/101408/101409,101415/101410/101407/101420/101417/101406/101409/101411/101408,101410/101407/101425/101411/101424/101417,101409/101407/101408/101417/101415/101424,0.192,0.232,0.272,0.312
gene-Pocillopora_meandrina_HIv1___TS.g2094.t1,39,14,36,Robust shift,94905/94895/94900/94894/94899/94904,94904/94896/94906/94905/94901/94912/94895,94901/94910/94907/94895/94894/94906,94895/94907/94905/94901/94915/94913,0.196,0.099,0.121,0.122
gene-Pocillopora_meandrina_HIv1___RNAseq.g10412.t1,39,13,36,Robust shift,175997/176006/176002/175989/176004/176007/175986/176003/175996,176002/175989/176007/176004/176003/175995,175988/175987/176006/175986/175989/176002/176001,175987/175988/176007/176002/176006/176003,0.097,0.096,0.117,0.093
gene-Pocillopora_meandrina_HIv1___RNAseq.g10740.t1,39,13,36,Robust shift,151952/151954/151950/151959/151962/151967/151956/151953,151954/151953/151958/151956/151967/151952/151955,151951/151961/151953/151950/151958/151955/151954,151956/151950/151953/151952/151964/151958/151951/151962,0.119,0.102,0.094,0.123
gene-Pocillopora_meandrina_HIv1___RNAseq.g20061.t1,38,13,36,Robust shift,24520/24513/24522/24542/24538/24532,24522/24517/24518/24523/24528/24513,24517/24523/24522/24513/24516/24527,24518/24513/24517/24523/24532/24514/24522,0.109,0.146,0.14,0.145
gene-Pocillopora_meandrina_HIv1___RNAseq.g6697.t1,39,13,36,Robust shift,30572/30575/30573/30571/30568/30556/30562/30570,30575/30572/30557/30571/30569/30574/30573/30556,30576/30551/30571/30572/30575/30568,30570/30556/30571/30575/30569/30573/30572,0.103,0.086,0.131,0.108
gene-Pocillopora_meandrina_HIv1___RNAseq.g12778.t1,39,12,36,Robust shift,191287/191290/191285/191283/191286/191284,191288/191290/191289/191280/191285/191287,191285/191282/191273/191287/191284/191283/191289,191290/191289/191276/191273/191286,0.101,0.111,0.089,0.1
gene-Pocillopora_meandrina_HIv1___RNAseq.g16881.t1,38,12,36,Robust shift,163959/163955/163958/163962/163957/163963,163958/163957/163960/163966/163969/163968/163956,163957/163963/163962/163959/163960/163961,163968/163960/163961/163962/163957/163958/163959,0.123,0.134,0.152,0.13
gene-Pocillopora_meandrina_HIv1___RNAseq.g20732.t1,39,12,36,Robust shift,194899/194901/194892/194898/194888/194902/194887,194902/194899/194901/194898/194900/194892/194897/194896,194902/194901/194889/194892/194888/194899/194897/194894,194899/194902/194900/194901/194897/194892/194888,0.142,0.136,0.184,0.134
gene-Pocillopora_meandrina_HIv1___RNAseq.g27738.t1,39,12,36,Robust shift,73440/73453/73452/73451/73431/73441,73452/73450/73431/73444/73451/73441/73438/73453,73448/73453/73441/73450/73451/73438,73450/73453/73439/73451/73435/73431/73441,0.141,0.168,0.157,0.227
gene-Pocillopora_meandrina_HIv1___RNAseq.g30204.t1,39,12,36,Robust shift,185815/185820/185819/185809/185818/185823/185813,185820/185822/185819/185808/185815/185818/185817/185823,185809/185820/185821/185819/185817/185815,185821/185820/185818/185822/185819/185811,0.192,0.175,0.214,0.167
gene-Pocillopora_meandrina_HIv1___RNAseq.g19433.t2,39,11,36,Robust shift,20695/20694/20685/20692/20696/20693/20684,20695/20694/20683/20684/20687,20696/20693/20689/20694/20695,20695/20685/20693/20691/20696/20684/20694,0.11,0.107,0.118,0.12
gene-Pocillopora_meandrina_HIv1___RNAseq.g22888.t1,38,11,36,Robust shift,58052/58042/58043/58044/58047/58049,58043/58048/58054/58046/58045/58044,58045/58048/58042/58052/58047,58042/58052/58048/58043/58050,0.428,0.272,0.408,0.23
gene-Pocillopora_meandrina_HIv1___RNAseq.g24117.t1,39,11,36,Robust shift,51962/51953/51952/51959/51958/51960/51955/51961,51952/51961/51954/51962/51960,51964/51962/51959/51948/51961/51958/51960,51953/51952/51962/51954/51958,0.144,0.13,0.131,0.197
gene-Pocillopora_meandrina_HIv1___RNAseq.g2515.t2,39,11,36,Robust shift,89792/89790/89789/89788,89789/89797/89788/89790/89793/89794,89789/89806/89790/89793/89794/89797/89788,89791/89798/89794/89792/89789/89804/89788,0.172,0.143,0.191,0.182
gene-Pocillopora_meandrina_HIv1___TS.g10137.t1a,39,11,36,Robust shift,41333/41331/41338/41341/41336/41330/41332,41340/41338/41339/41341/41334/41337,41338/41336/41341/41339/41332/41340,41332/41331/41339/41341/41336/41337,0.144,0.14,0.144,0.147
gene-Pocillopora_meandrina_HIv1___TS.g25730.t1,39,11,36,Robust shift,680/679/677/674/673/702/713,679/680/676/673/677,675/673/677/680/676/679,678/679/677/674/702/680/672/673,0.125,0.068,0.082,0.096
gene-Pocillopora_meandrina_HIv1___RNAseq.g10975.t1,39,10,36,Robust shift,153468/153461/153469/153462/153470,153462/153470/153468/153469,153460/153468/153469/153470/153464,153471/153468/153469/153463/153460/153466,0.124,0.111,0.147,0.154
gene-Pocillopora_meandrina_HIv1___RNAseq.g29115.t1,39,10,36,Robust shift,134497/134498/134496/134499/134486/134494,134487/134495/134497/134498,134496/134498/134499/134492/134494/134480/134495,134496/134498/134499,0.107,0.1,0.111,0.139
gene-Pocillopora_meandrina_HIv1___RNAseq.g1780.t1,39,9,36,Robust shift,84626/84629/84627/84624/84628,84627/84629/84633/84630/84628/84624,84624/84630/84629/84633/84632,84626/84630/84624/84625/84629/84627,0.252,0.174,0.186,0.193
gene-Pocillopora_meandrina_HIv1___RNAseq.g27958.t1,39,9,36,Robust shift,75044/75045/75043/75047/75041/75042,75045/75044/75040/75039/75042,75044/75043/75042/75039/75041/75048,75044/75048/75039/75045,0.17,0.189,0.158,0.168
gene-Pocillopora_meandrina_HIv1___RNAseq.g39.t1,39,9,36,Robust shift,204734/204731/204730/204732,204731/204734/204733/204735/204728/204729/204730,204733/204735/204729/204732/204734/204728,204734/204727/204730/204731/204735/204729,0.213,0.222,0.246,0.214
gene-Pocillopora_meandrina_HIv1___RNAseq.g8521.t1,39,9,36,Robust shift,103069/103066/103068/103065/103067/103046/103070,103065/103067/103070/103066/103062/103069,103067/103069/103062/103070/103068,103070/103069/103067/103062/103047/103065/103068,0.142,0.11,0.128,0.141
gene-Pocillopora_meandrina_HIv1___TS.g26436.t1,39,9,36,Robust shift,6262/6257/6247/6255/6261,6261/6259/6262/6260/6256,6261/6257/6256/6262/6259/6258/6260,6260/6261/6259/6247/6262,0.235,0.186,0.214,0.2
gene-Pocillopora_meandrina_HIv1___TS.g6373.t1,38,9,36,Robust shift,134913/134915/134916,134921/134914/134917/134916/134913/134918,134914/134925/134922/134918/134921/134917/134913,134916/134917/134913/134914/134915,0.19,0.162,0.147,0.182
gene-Pocillopora_meandrina_HIv1___RNAseq.g19798.t1,39,8,36,Robust shift,22708/22711/22706/22709/22710/22705,22705/22710/22704/22707/22709,22710/22705/22711/22709,22711/22705/22709/22710,0.274,0.202,0.37,0.216
gene-Pocillopora_meandrina_HIv1___RNAseq.g2267.t1,37,8,36,Robust shift,88137/88140/88141/88143/88139/88138,88139/88143/88140/88138,88142/88141/88138/88137/88139,88138/88142/88144/88139/88141,0.306,0.33,0.305,0.298
gene-Pocillopora_meandrina_HIv1___RNAseq.g24242.t1,39,8,36,Robust shift,52442/52438/52439/52437/52435/52436,52437/52442/52439/52438/52436,52436/52449/52438/52435/52437,52442/52437/52439/52445/52438/52435,0.186,0.116,0.165,0.121
gene-Pocillopora_meandrina_HIv1___RNAseq.g9723.t1,39,8,36,Robust shift,109616/109620/109619/109617/109618,109620/109619/109613/109614/109615/109616,109619/109615/109620/109614/109617,109614/109619/109615/109616/109620,0.294,0.217,0.216,0.255
gene-Pocillopora_meandrina_HIv1___TS.g2586.t1,39,8,36,Robust shift,98097/98104/98101/98102/98103/98099,98099/98105/98097/98098/98103,98098/98101/98097/98103,98099/98097/98104/98105/98098/98102,0.139,0.112,0.127,0.124
gene-Pocillopora_meandrina_HIv1___TS.g4465.t1,39,8,36,Robust shift,85703/85710/85708/85707/85709,85710/85703/85704/85709/85702/85706/85707,85709/85703/85707/85710/85708,85709/85710/85708/85707/85704/85703,0.27,0.21,0.227,0.191
gene-Pocillopora_meandrina_HIv1___RNAseq.g6792.t1,39,7,36,Robust shift,31217/31212/31213/31209/31210/31215,31210/31209/31215/31217,31209/31217/31210/31212,31210/31212/31217/31213/31223,0.117,0.113,0.125,0.122
gene-Pocillopora_meandrina_HIv1___RNAseq.g17023.t1,38,20,35,Robust shift,164801/164789/164802/164797/164796/164800/164798/164792,164794/164786/164797/164791/164803/164813/164795/164814/164789/164793,164788/164792/164797/164789/164793/164795/164810/164801/164791,164789/164801/164812/164793/164806/164798,0.1,0.099,0.126,0.151
gene-Pocillopora_meandrina_HIv1___RNAseq.g18948.t1,39,20,35,Robust shift,17760/17738/17753/17747/17755/17737/17741/17736,17760/17744/17737/17753/17750/17752/17757,17744/17735/17758/17740/17760/17754/17753/17737/17756/17751,17748/17760/17755/17754/17744/17742,0.192,0.171,0.172,0.165
gene-Pocillopora_meandrina_HIv1___RNAseq.g10438.t1,38,19,35,Robust shift,176225/176222/176231/176223/176221/176236/176220,176219/176225/176249/176232/176217/176233/176234/176250,176222/176245/176225/176228/176219/176217/176224/176221/176226,176217/176221/176222/176218/176236/176219,0.087,0.08,0.106,0.136
gene-Pocillopora_meandrina_HIv1___RNAseq.g13168.t1,37,19,35,Robust shift,95184/95191/95161/95189/95187/95190/95196/95195/95193,95188/95194/95196/95195/95189/95190/95186/95192,95183/95194/95193/95195/95177/95165/95159/95181,95180/95192/95188/95196/95186/95194/95183,0.125,0.106,0.144,0.24
gene-Pocillopora_meandrina_HIv1___RNAseq.g6853.t1,38,19,35,Robust shift,31696/31702/31694/31701,31702/31692/31686/31668/31684/31682/31696/31701,31699/31689/31698/31679/31693/31701/31702/31694/31696/31697,31685/31688/31702/31674/31681/31701,0.118,0.136,0.202,0.152
gene-Pocillopora_meandrina_HIv1___RNAseq.g15395.t1,39,18,35,Robust shift,43541/43540/43526/43539/43542/43521/43513/43543/43529,43531/43541/43530/43543/43524/43542/43512/43539/43538,43543/43528/43539/43541/43540/43520/43535/43536,43536/43538/43543/43520/43528/43513/43540,0.187,0.136,0.131,0.128
gene-Pocillopora_meandrina_HIv1___RNAseq.g2179.t1,39,17,35,Robust shift,87674/87665/87666/87672/87675/87660,87666/87659/87662/87663/87672/87673/87674,87670/87660/87673/87659/87675/87669/87662/87666/87677,87667/87661/87663/87677/87660/87664/87673/87665/87668,0.075,0.076,0.081,0.08
gene-Pocillopora_meandrina_HIv1___RNAseq.g371.t1,38,17,35,Robust shift,149286/149301/149300/149287/149288/149302/149311/149285,149302/149294/149296/149287/149286/149290/149289/149285,149303/149302/149316/149296/149289/149313/149285,149319/149296/149306/149289/149302/149286/149300/149294,0.184,0.144,0.156,0.171
gene-Pocillopora_meandrina_HIv1___TS.g5740.t1,39,17,35,Robust shift,91537/91540/91510/91536/91514,91518/91541/91537/91536/91538/91504/91539/91507/91511/91534,91537/91540/91515/91541/91508/91538/91502,91539/91541/91540/91534/91536/91504/91523,0.105,0.089,0.105,0.113
gene-Pocillopora_meandrina_HIv1___RNAseq.g10457.t1,39,16,35,Robust shift,176401/176386/176388/176387/176395/176392/176393/176399,176386/176393/176389/176398/176404/176387/176390,176398/176393/176387/176397/176401/176400/176394/176396,176393/176396/176390/176401/176399/176389/176386,0.168,0.146,0.173,0.169
gene-Pocillopora_meandrina_HIv1___RNAseq.g11487.t2,38,16,35,Robust shift,130039/130046/130043/130035/130026/130048,130035/130039/130037/130045/130047/130048/130043/130024,130046/130028/130026/130048/130047/130045/130044/130041,130040/130046/130045/130054/130032/130026,0.116,0.118,0.141,0.153
gene-Pocillopora_meandrina_HIv1___RNAseq.g18438.t1,36,16,35,Robust shift,147013/147020/147010/147008/147015/147011/147021,147018/147019/147011/147010/147005/147016/147007,147014/147019/147017/147010/147013/147021,147016/147009/147013/147012/147019/147007,0.255,0.378,0.246,0.279
gene-Pocillopora_meandrina_HIv1___RNAseq.g19796.t1,39,16,35,Robust shift,22671/22663/22664/22666/22674/22683,22663/22664/22668/22677/22681/22667/22670,22665/22664/22683/22667/22678/22669/22676/22671,22663/22683/22676/22672/22671/22670,0.235,0.123,0.247,0.209
gene-Pocillopora_meandrina_HIv1___RNAseq.g20262.t1,38,16,35,Robust shift,26137/26141/26142/26129/26136/26135/26119,26120/26139/26118/26137/26140/26138,26143/26131/26137/26141/26138,26135/26136/26142/26143/26141/26125/26134,0.1,0.123,0.153,0.149
gene-Pocillopora_meandrina_HIv1___RNAseq.g23873.t1,39,16,35,Robust shift,65658/65666/65645/65649/65648/65657/65646/65653,65660/65665/65666/65658/65653/65636/65654/65662,65666/65661/65664,65666/65653/65665/65634/65657/65661,0.137,0.097,0.127,0.184
gene-Pocillopora_meandrina_HIv1___RNAseq.g25357.t1,39,16,35,Robust shift,201272/201291/201262/201264/201266/201268/201293,201277/201291/201271/201269/201272/201262/201283,201272/201273/201268/201263/201270/201291/201264,201281/201291/201272/201268/201283/201273/201290,0.084,0.065,0.077,0.092
gene-Pocillopora_meandrina_HIv1___RNAseq.g26112.t1,38,16,35,Robust shift,118349/118365/118360/118357/118364/118351/118355/118354,118357/118361/118360/118362/118356/118349/118363/118350,118352/118356/118361/118363/118354/118365/118357/118360/118358,118357/118365/118363/118360/118356/118352/118359/118364,0.17,0.182,0.227,0.266
gene-Pocillopora_meandrina_HIv1___TS.g16318.t1,39,16,35,Robust shift,61741/61728/61729/61732/61736/61727/61740/61750/61731,61729/61732/61728/61740/61745/61746/61735/61736,61731/61728/61748/61752/61736/61732/61735/61726,61727/61726/61736/61729/61732/61733,0.209,0.157,0.184,0.253
gene-Pocillopora_meandrina_HIv1___RNAseq.g16849.t1a,39,15,35,Robust shift,163751/163770/163773/163775/163766/163767/163774/163763,163769/163766/163773/163774/163771/163751/163775,163775/163762/163751/163750/163773/163763/163765/163759,163774/163773/163750/163763/163751/163762/163772/163775,0.099,0.078,0.107,0.091
gene-Pocillopora_meandrina_HIv1___RNAseq.g4182.t1,39,15,35,Robust shift,123112/123113/123096/123108/123109,123109/123106/123113/123114/123112/123101/123105/123108,123114/123110/123093/123108/123111/123109/123112,123113/123112/123094/123090/123109/123107/123108,0.079,0.073,0.095,0.118
gene-Pocillopora_meandrina_HIv1___RNAseq.g4516.t1,38,15,35,Robust shift,125581/125587/125631/125584/125582,125583/125582/125598/125589/125604/125587/125581/125588/125627,125583/125582/125591/125584/125581/125586/125590,125581/125611/125582/125587,0.205,0.12,0.214,0.199
gene-Pocillopora_meandrina_HIv1___RNAseq.g7755.t1,39,15,35,Robust shift,38799/38802/38803/38810/38804/38811,38809/38811/38810/38803/38801/38819/38800,38796/38811/38798/38797/38803/38808/38810,38796/38810/38799/38822/38803,0.095,0.085,0.093,0.086
gene-Pocillopora_meandrina_HIv1___TS.g13354.t1,38,15,35,Robust shift,152522/152523/152514/152521/152507/152519,152507/152523/152519/152518/152510/152516/152515/152514,152512/152506/152509/152511/152514/152518/152522,152520/152523/152519/152522/152516/152521,0.172,0.205,0.255,0.185
gene-Pocillopora_meandrina_HIv1___RNAseq.g10066.t1,39,14,35,Robust shift,112207/112206/112209/112210/112202/112214,112213/112205/112211/112201/112202/112207/112210/112208/112209,112210/112204/112208/112202/112212/112207/112214,112207/112205/112213/112209/112206/112217/112208,0.296,0.21,0.255,0.293
gene-Pocillopora_meandrina_HIv1___RNAseq.g1337.t1,39,14,35,Robust shift,181758/181771/181759/181763/181772/181776/181773/181757,181772/181771/181775/181768/181759/181769/181767/181757,181772/181774/181757/181773/181771/181759,181771/181759/181777/181757/181775,0.137,0.155,0.138,0.153
gene-Pocillopora_meandrina_HIv1___RNAseq.g2184.t1,39,14,35,Robust shift,87716/87714/87713/87709/87721/87712/87704,87716/87710/87712/87721/87717/87705/87703,87716/87709/87712/87720/87705,87718/87717/87716/87721/87715/87720,0.165,0.127,0.123,0.173
gene-Pocillopora_meandrina_HIv1___RNAseq.g24414.t1,39,14,35,Robust shift,53655/53664/53661/53662/53657/53648,53660/53664/53650/53642/53662/53661/53659,53659/53660/53664/53661/53658/53644,53664/53661/53662/53649/53657/53651,0.154,0.104,0.126,0.126
gene-Pocillopora_meandrina_HIv1___RNAseq.g5074.t2,39,14,35,Robust shift,76301/76300/76299/76308/76324/76317,76304/76303/76326/76299/76300/76308,76300/76318/76301/76299/76303/76304,76303/76300/76302/76307/76317/76306/76299/76325,0.115,0.082,0.099,0.129
gene-Pocillopora_meandrina_HIv1___RNAseq.g7541.t1,39,14,35,Robust shift,37293/37298/37294/37297/37299/37287/37302/37292/37300,37299/37301/37298/37276/37297/37292/37293,37303/37300/37293/37281/37291/37299/37292,37301/37299/37300/37298/37287/37293/37291,0.172,0.109,0.117,0.156
gene-Pocillopora_meandrina_HIv1___RNAseq.g7783.t2,39,14,35,Robust shift,39000/38999/38977/38996/38998/38980/38987,38991/38997/38990/38995/38996/38982/38974,38980/38993/38991/38999/38997/39000/38998/38995,38998/38999/38977/38980/38997,0.116,0.091,0.105,0.116
gene-Pocillopora_meandrina_HIv1___TS.g23426.t1,39,14,35,Robust shift,111029/111033/111037/111031/111036/111049/111045,111037/111039/111031/111029/111034/111048/111044/111030,111030/111049/111029/111031/111037/111034/111039,111033/111031/111046/111037/111032,0.167,0.137,0.254,0.162
gene-Pocillopora_meandrina_HIv1___TS.g4391.t1,39,14,35,Robust shift,85183/85186/85184/85188/85181/85189/85190/85195,85185/85189/85187/85181/85186/85182/85197/85188/85184,85189/85183/85187/85182/85195/85186,85183/85186/85194/85185/85205,0.103,0.095,0.109,0.094
gene-Pocillopora_meandrina_HIv1___TS.g6106.t2,38,14,35,Robust shift,132875/132876/132882/132878/132883/132894,132879/132878/132884/132896/132877/132876/132889/132882/132875,132875/132876/132880/132878/132889/132881,132895/132876/132875/132880/132878,0.254,0.23,0.276,0.314
gene-Pocillopora_meandrina_HIv1___RNAseq.g12668.t1,38,13,35,Robust shift,190326/190349/190336/190355/190325/190353/190352/190354,190351/190353/190354/190352/190325/190321,190347/190330/190325/190355/190326/190321/190353/190323,190325/190352/190355/190353/190351/190326,0.205,0.215,0.275,0.182
gene-Pocillopora_meandrina_HIv1___RNAseq.g14291.t1,39,13,35,Robust shift,91823/91817/91819/91818/91822,91819/91821/91818/91817/91829/91820,91828/91836/91822/91817/91819/91824/91820/91818/91826,91818/91822/91821/91817/91820/91823/91832,0.163,0.116,0.138,0.203
gene-Pocillopora_meandrina_HIv1___RNAseq.g19954.t1,38,13,35,Robust shift,23898/23897/23905/23901/23896/23900/23907/23902,23897/23896/23903/23900/23908,23898/23904/23900/23897,23901/23902/23897/23907/23903/23911/23899,0.159,0.219,0.19,0.19
