gene_id,group_id,species,TP1,TP2,TP3,TP4,delta_meth_T1_T2,delta_meth_T1_T3,delta_meth_T4_T2,delta_meth_T4_T3,abs_delta_T2,abs_delta_T3
gene-Pocillopora_meandrina_HIv1___RNAseq.g3045.t1,OG_05950,ptua,0.6617220607534021,0.5714711019419224,0.7002400933512446,0.6465674819591131,-0.09025095881147971,0.03851803259784248,-0.07509638001719066,0.05367261139213153,0.09025095881147971,0.03851803259784248
gene-Pocillopora_meandrina_HIv1___RNAseq.g3086.t2,OG_17800,ptua,1.3078543125290667,1.327229205383682,1.3595570810509556,1.436964840878071,0.019374892854615355,0.05170276852188893,-0.10973563549438903,-0.07740775982711545,0.019374892854615355,0.05170276852188893
gene-Pocillopora_meandrina_HIv1___RNAseq.g3152.t1,OG_14626,ptua,0.5317985591973613,0.43431136732210696,0.5744250692002442,0.5219344919617419,-0.09748719187525434,0.04262651000288287,-0.08762312463963495,0.052490577238502256,0.09748719187525434,0.04262651000288287
gene-Pocillopora_meandrina_HIv1___RNAseq.g330.t1,OG_16731,ptua,0.47269557145951036,0.4387380656991526,0.5997808667776433,0.5334280743664245,-0.033957505760357776,0.12708529531813295,-0.0946900086672719,0.06635279241121883,0.033957505760357776,0.12708529531813295
gene-Pocillopora_meandrina_HIv1___RNAseq.g3481.t1,OG_14627,ptua,0.447053008482498,0.4008301762203091,0.5043133852000228,0.4277462962992954,-0.04622283226218893,0.057260376717524764,-0.026916120078986305,0.07656708890072739,0.04622283226218893,0.057260376717524764
gene-Pocillopora_meandrina_HIv1___RNAseq.g3514.t1,OG_14158,ptua,0.4685695714285714,0.3160141359171471,0.40382995776211833,0.487673523275678,-0.1525554355114243,-0.06473961366645309,-0.17165938735853087,-0.08384356551355965,0.1525554355114243,0.06473961366645309
gene-Pocillopora_meandrina_HIv1___RNAseq.g3618.t1,OG_16389,ptua,0.4629292091032931,0.424251401844942,0.5035885890724947,0.356122539800995,-0.03867780725835113,0.0406593799692016,0.06812886204394697,0.1474660492714997,0.03867780725835113,0.0406593799692016
gene-Pocillopora_meandrina_HIv1___RNAseq.g370.t1,OG_14540,ptua,0.8087266999016464,0.7751084149213172,0.8554600439418748,0.9402626501023332,-0.03361828498032915,0.04673334404022844,-0.16515423518101602,-0.08480260616045843,0.03361828498032915,0.04673334404022844
gene-Pocillopora_meandrina_HIv1___RNAseq.g371.t1,OG_04443,ptua,2.294602530693704,2.2974819221785756,2.4246411043943104,2.3612802234371246,0.0028793914848717073,0.13003857370060645,-0.06379830125854902,0.06336088095718573,0.0028793914848717073,0.13003857370060645
gene-Pocillopora_meandrina_HIv1___RNAseq.g393.t1,OG_04327,ptua,6.147224781360229,6.0379268890726046,5.863427955522487,6.005443125727513,-0.10929789228762488,-0.2837968258377428,0.03248376334509118,-0.14201517020502674,0.10929789228762488,0.2837968258377428
gene-Pocillopora_meandrina_HIv1___RNAseq.g3959.t1,OG_01568,ptua,0.20408163265306123,0.09398496428571428,0.0,0.4761904761904762,-0.11009666836734695,-0.20408163265306123,-0.38220551190476193,-0.4761904761904762,0.11009666836734695,0.20408163265306123
gene-Pocillopora_meandrina_HIv1___RNAseq.g3972.t1,OG_02316,ptua,1.4196806337240222,1.8041657500572739,1.5198309327442316,1.3613371010800197,0.38448511633325166,0.10015029902020944,0.44282864897725416,0.15849383166421194,0.38448511633325166,0.10015029902020944
gene-Pocillopora_meandrina_HIv1___RNAseq.g4018.t2,OG_15907,ptua,4.824325757575758,5.825918681818181,4.458990876190476,2.8524132277056276,1.0015929242424235,-0.3653348813852819,2.9735054541125536,1.6065776484848482,1.0015929242424235,0.3653348813852819
gene-Pocillopora_meandrina_HIv1___RNAseq.g4042.t1,OG_02358,ptua,0.35243456835797243,0.4442547641860436,0.3959942942500557,0.5232784982913602,0.09182019582807116,0.04355972589208329,-0.0790237341053166,-0.12728420404130447,0.09182019582807116,0.04355972589208329
gene-Pocillopora_meandrina_HIv1___RNAseq.g4110.t1,OG_04537,ptua,0.399904868481276,0.5033496174853598,0.37218922003005084,0.38217517279241797,0.10344474900408379,-0.02771564845122515,0.12117444469294181,-0.009985952762367134,0.10344474900408379,0.02771564845122515
gene-Pocillopora_meandrina_HIv1___RNAseq.g4121.t1,OG_04538,ptua,0.5049947882474042,0.508665004274078,0.7153474204797708,0.6207791856247763,0.0036702160266738337,0.21035263223236667,-0.11211418135069828,0.09456823485499455,0.0036702160266738337,0.21035263223236667
gene-Pocillopora_meandrina_HIv1___RNAseq.g4122.t1,OG_14588,ptua,0.370281494730205,0.4414226194467583,0.5767766540746911,0.5705591967374705,0.07114112471655332,0.20649515934448615,-0.12913657729071215,0.006217457337220678,0.07114112471655332,0.20649515934448615
gene-Pocillopora_meandrina_HIv1___RNAseq.g4199.t1,OG_06004,ptua,5.7599085796667975,5.68672374835148,5.63323362050046,5.746371462144169,-0.07318483131531739,-0.12667495916633786,-0.05964771379268896,-0.11313784164370944,0.07318483131531739,0.12667495916633786
