group_id,gene_id,POR-216-TP1,POR-216-TP2,POR-216-TP3,POR-216-TP4,POR-236-TP1,POR-236-TP2,POR-245-TP1,POR-245-TP2,POR-245-TP3,POR-245-TP4,POR-260-TP1,POR-260-TP2,POR-260-TP3,POR-260-TP4,POR-262-TP1,POR-262-TP2,POR-262-TP3,POR-262-TP4,POR-69-TP1,POR-69-TP2,POR-69-TP3,POR-69-TP4,POR-72-TP1,POR-72-TP2,POR-72-TP3,POR-72-TP4,POR-73-TP1,POR-73-TP2,POR-73-TP3,POR-73-TP4,POR-74-TP1,POR-74-TP2,POR-74-TP3,POR-74-TP4,POR-83-TP1,POR-83-TP2,POR-83-TP3,POR-83-TP4
OG_06719,Peve_00026552,334,148,79,428,74,40,368,59,183,345,1050,213,439,966,498,271,110,157,526,541,209,217,314,753,1514,1582,510,170,81,467,946,439,386,464,724,787,99,714
OG_06717,Peve_00026558,931,866,788,348,1151,458,605,370,271,1652,1017,395,684,694,616,2039,1007,786,1301,560,470,564,783,851,824,1213,632,251,180,245,616,372,884,172,1583,302,296,593
OG_06712,Peve_00026516,216,233,191,245,208,103,287,92,138,275,536,120,225,243,270,630,242,190,286,207,108,84,682,369,304,628,113,71,83,77,456,310,255,101,603,178,74,157
OG_10579,Peve_00026526,749,305,251,142,601,379,353,151,357,85,582,128,229,235,414,539,519,216,234,149,108,50,200,616,328,539,103,109,105,143,364,48,733,119,68,129,54,47
OG_07330,Peve_00027617,19,19,4,12,12,11,4,16,0,32,21,5,3,3,16,8,15,12,9,0,7,16,38,23,0,9,0,4,0,9,4,4,7,0,22,0,0,7
OG_07331,Peve_00027618,360,2305,854,181,1950,785,1057,658,358,820,1918,941,848,843,551,2416,1467,316,130,1269,512,38,214,266,510,219,221,200,640,242,584,130,1100,139,51,257,110,52
OG_12447,Peve_00028164,980,1436,972,496,1763,814,1750,693,645,1094,2410,747,950,1160,1047,1278,1564,726,555,1367,811,304,730,779,1084,1067,618,475,469,793,977,277,1192,385,501,605,750,265
OG_06922,Peve_00028791,749,459,210,277,375,119,646,116,291,1544,1738,188,538,668,1080,658,476,201,218,781,318,313,619,1123,876,1005,554,538,71,302,1004,301,620,187,1098,414,133,170
OG_10938,Peve_00028802,52,65,85,104,95,46,183,85,58,12,373,113,88,165,264,488,113,74,88,71,19,0,95,82,30,163,18,7,47,79,271,296,83,53,248,70,39,22
OG_02149,Peve_00028805,181,164,101,187,259,52,267,68,30,395,199,21,78,151,274,351,128,175,157,204,70,85,265,112,148,193,59,25,52,56,203,119,186,70,278,52,74,66
OG_00305,Peve_00029366,127,480,126,84,277,90,164,91,34,88,149,81,78,99,147,161,296,170,116,148,76,39,108,138,96,177,77,36,49,67,117,31,70,33,104,19,86,54
OG_00314,Peve_00029370,340,7533,1948,1097,1658,1566,1593,1893,2431,1868,1221,939,1295,1359,837,2155,3833,3675,853,1235,788,299,1426,2383,1143,4214,307,191,1344,1272,1553,1612,2264,2753,1437,2149,1866,677
OG_17453,Peve_00030921,13,8,14,34,2,2,5,1,1,12,4,1,4,7,14,25,20,15,2,1,0,2,5,1,1,6,0,0,1,3,13,8,14,6,7,6,3,7
OG_02537,Peve_00031460,54,175,46,34,3,2,0,0,8,0,30,0,7,0,0,3,13,13,6,10,7,0,7,0,0,5,15,47,66,25,0,8,17,0,4,26,10,14
OG_04209,Peve_00032297,55,119,64,18,154,60,152,69,32,38,144,65,60,72,98,110,140,115,50,82,32,52,18,9,37,27,63,51,37,81,30,0,47,10,36,40,43,37
OG_11074,Peve_00032727,82,212,70,54,238,100,70,50,49,52,354,71,144,159,17,115,45,46,44,261,15,7,18,91,3,25,25,99,14,159,113,37,41,27,12,39,6,19
OG_17556,Peve_00032707,41,54,18,17,44,34,10,0,16,110,14,0,5,13,10,29,60,17,29,26,4,13,24,42,13,53,25,19,14,15,13,12,11,20,40,10,5,10
OG_09511,Peve_00033117,1013,960,555,282,1169,558,690,421,287,539,996,338,465,320,565,962,901,629,955,543,365,352,828,742,472,845,360,237,263,367,482,304,528,226,639,318,231,416
OG_01117,Peve_00035114,512,315,152,64,340,150,391,161,157,806,488,130,173,129,277,292,531,150,163,345,1331,662,100,89,936,123,1423,1535,85,259,332,37,231,102,138,206,677,115
OG_01121,Peve_00035122,769,1247,1070,350,2142,638,889,704,473,656,1805,478,913,625,615,1843,1787,1132,1053,828,391,303,1088,767,464,1300,455,239,747,297,506,406,951,235,1459,401,477,544
OG_02967,Peve_00035474,0,3,0,13,0,3,35,12,8,2,5,3,0,2,2,15,3,7,0,10,0,0,8,0,43,14,0,0,0,37,4,8,0,0,11,6,0,7
OG_04443,Peve_00035796,264,151,209,260,190,111,254,95,191,237,253,118,270,272,206,383,212,199,229,191,120,223,320,147,156,267,165,72,140,168,213,259,250,156,322,222,175,194
OG_11794,Peve_00037626,75,121,64,10,170,101,169,75,113,60,385,87,228,164,155,122,113,49,81,105,92,11,811,113,141,239,42,38,21,34,235,14,338,61,94,55,23,91
OG_04651,Peve_00037603,563,454,229,34,143,297,97,45,45,147,357,235,122,73,269,87,145,121,68,193,25,15,264,470,156,236,28,45,28,96,157,11,35,162,13,35,46,27
OG_09310,Peve_00038127,772,187,146,182,122,65,385,119,158,323,293,222,141,110,328,265,215,88,372,303,585,281,189,524,781,537,977,413,131,459,360,104,235,130,645,537,538,540
OG_13214,Peve_00038140,147,318,79,76,35,34,120,74,46,93,197,67,90,129,84,125,94,45,63,172,67,50,97,92,47,111,70,33,14,35,108,28,121,95,84,33,61,23
OG_01452,Peve_00038389,2054,2340,1688,1388,2769,921,2927,1011,1235,1976,3098,1120,1492,1800,2403,3237,2475,1489,1694,1878,956,769,1624,1757,1544,2820,988,1056,962,1457,2187,999,2023,893,2018,1290,636,1125
OG_03628,Peve_00038815,638,879,311,198,636,304,604,349,285,381,738,284,262,232,492,566,672,395,575,440,480,273,333,553,592,725,475,235,222,299,559,244,348,293,592,323,443,287
OG_11381,Peve_00038824,0,0,2,0,0,0,79,17,0,0,19,1,13,0,0,9,0,6,0,6,7,0,5,6,0,0,0,0,0,6,3,19,0,5,120,86,22,41
OG_11380,Peve_00038822,0,0,3,9,14,6,97,49,7,20,99,0,4,9,0,25,4,12,8,34,3,5,18,24,0,20,0,0,8,36,35,22,6,6,326,86,86,90
OG_11379,Peve_00038834,78,92,196,57,532,284,176,70,185,35,815,67,107,106,382,1706,93,52,129,212,33,32,278,570,0,337,2,11,152,243,430,858,223,31,203,47,0,58
OG_03626,Peve_00038835,78,27,24,9,14,11,86,54,12,31,29,10,16,10,72,54,63,20,9,7,0,0,46,55,45,109,18,15,10,45,49,28,82,13,47,55,18,74
OG_02090,Peve_00040489,181,857,400,712,305,150,403,312,83,55,0,0,0,0,828,1654,2109,1296,122,264,34,16,227,638,31,1091,485,624,311,637,2146,1387,751,1128,2377,1626,231,1330
OG_13149,Peve_00040657,18,13,24,14,0,0,0,0,0,0,41,32,38,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,40,0,0,0,0,0
OG_00246,Peve_00041033,252,510,473,101,494,96,492,99,179,0,543,80,163,67,177,197,493,81,189,224,9,4,75,119,10,223,25,48,32,235,126,17,167,49,72,271,120,74
OG_12611,Peve_00041052,76,121,24,13,180,101,349,166,55,54,554,245,121,227,362,430,407,178,190,917,138,67,319,409,298,515,111,101,136,262,214,63,190,131,135,271,38,63
OG_12612,Peve_00041053,15,42,9,11,441,131,278,175,122,55,613,208,233,235,224,538,517,357,138,739,157,81,178,272,151,318,183,68,144,246,237,54,211,95,86,233,81,90
OG_03291,Peve_00041996,656,800,331,311,556,203,355,191,152,652,600,233,324,348,620,991,569,546,724,217,227,287,887,600,239,558,421,101,107,182,423,428,288,246,498,348,203,299
OG_03268,Peve_00042384,103,315,41,26,57,25,145,52,25,26,79,45,30,31,177,143,219,74,25,93,20,19,0,32,39,44,11,35,24,108,57,33,7,68,55,91,39,32
OG_03269,Peve_00042391,1052,1459,491,122,461,547,603,493,125,151,516,401,159,148,802,217,439,227,250,1071,198,33,211,599,151,438,6,88,69,257,379,89,110,278,66,87,99,63
OG_03270,Peve_00042385,45,0,14,7,59,55,33,37,107,22,44,45,28,42,60,250,51,30,13,13,0,7,0,20,9,9,47,3,0,11,74,59,79,15,54,6,25,6
OG_04165,Peve_00042745,1974,726,592,624,1092,313,832,232,249,1050,1353,379,800,959,1101,1458,914,624,1222,409,281,282,895,1302,391,1528,831,305,267,350,557,327,539,396,1100,1701,246,1511
OG_10681,Peve_00043735,107,175,32,32,101,65,82,35,33,3,128,67,25,77,142,139,57,38,21,118,0,0,0,35,4,66,0,0,14,59,96,178,44,74,5,23,15,0
OG_18229,Peve_00043713,13,12,22,0,20,34,6,4,12,11,9,0,14,5,16,4,15,4,15,13,5,4,44,63,57,123,0,0,0,0,5,8,40,3,0,0,16,0
OG_12878,Peve_00044110,5495,2302,1598,1323,7010,3381,5429,3349,2434,2568,4497,1877,1893,2887,6353,3788,4788,1887,2858,3515,1591,1865,3993,4399,3671,3752,1625,1858,1704,3144,3996,928,2916,1827,975,3059,1383,2200
OG_12880,Peve_00044114,5939,7672,3429,2258,17530,6555,12972,6559,4367,4116,17833,4344,3477,7036,8666,6613,9817,5934,4038,4725,1525,921,3810,4999,981,6814,517,562,2848,4597,4451,1599,4587,4475,1607,5206,1959,1984
OG_18262,Peve_00044240,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG_18263,Peve_00044241,0,0,0,0,4,0,2,6,0,3,0,0,0,5,0,0,9,0,3,6,7,0,0,0,0,10,0,0,0,10,0,13,3,0,0,2,5,0
OG_00752,Peve_00044262,3778,761,1669,1134,1465,845,3773,630,882,1790,2609,798,2095,2241,2450,1428,1719,779,2042,1893,2021,1098,1357,2110,2984,2394,2771,2311,540,1759,2559,1013,1308,1016,1645,1745,2003,2025
OG_10818,Peve_00044432,105,153,30,39,32,22,19,22,7,82,47,21,56,43,85,88,68,41,17,39,31,22,34,56,19,61,16,25,20,85,67,26,47,59,26,40,58,22
OG_18275,Peve_00044434,600,1177,364,325,381,251,512,259,213,391,590,251,335,430,541,681,344,246,325,781,258,127,169,371,239,340,217,223,217,387,444,177,411,308,360,207,240,191
OG_00807,Peve_00044933,3193,898,497,322,1003,407,971,382,335,1085,1167,417,713,514,1551,790,815,520,4785,656,629,1993,1741,3447,1549,4725,1015,443,252,627,1065,475,754,829,1885,1818,668,2570
OG_11019,Peve_00000231,136,75,22,19,138,53,108,53,69,31,148,34,66,50,131,44,83,28,62,78,25,5,57,87,29,79,24,0,0,51,70,11,26,6,30,73,18,64
OG_07153,Peve_00000682,221,77,112,48,75,75,401,133,88,49,256,86,61,48,149,550,123,26,328,249,68,57,142,149,145,263,89,8,35,45,251,46,92,16,375,128,96,150
OG_06236,Peve_00001297,69,104,56,42,86,47,100,54,41,41,222,45,70,39,75,213,62,51,94,71,50,0,114,159,27,308,17,25,51,36,112,93,79,40,142,47,15,57
OG_15759,Peve_00001303,213,4111,842,1129,1860,380,2187,546,283,311,3467,844,401,1425,3232,1027,2599,2359,627,1627,46,68,2558,3946,339,4656,54,60,410,1277,6409,1029,868,3035,618,1869,232,1896
OG_10002,Peve_00001435,895,3329,1433,1802,3744,1128,2320,754,1919,275,4450,645,2411,2500,1965,4550,2156,1705,792,1803,194,17,1033,1200,41,1163,223,38,1139,1451,1503,953,1803,986,903,797,487,348
OG_10004,Peve_00001438,186,221,119,84,270,98,189,90,70,220,124,90,64,122,126,236,146,138,257,197,46,36,295,233,94,197,17,34,43,77,159,98,71,67,90,85,57,160
OG_10007,Peve_00001436,2890,1413,1020,523,729,363,577,241,659,11620,752,261,285,467,448,758,888,566,1037,1301,5443,5340,203,316,7666,432,3478,6522,209,517,1147,344,1311,521,659,925,2538,810
OG_10008,Peve_00001453,10498,1481,952,720,1925,854,2283,812,847,11660,2567,1031,754,1128,1938,1732,1744,817,2973,1428,11807,7178,837,2628,21244,2937,14616,15657,581,1459,2064,723,1176,869,1156,1515,5840,2298
OG_04331,Peve_00001588,38,40,18,22,30,24,65,5,0,33,73,18,19,35,51,183,15,20,37,15,0,0,73,39,42,24,6,0,3,12,56,40,9,7,36,8,0,16
OG_04327,Peve_00001593,2004,2286,883,421,2099,920,1864,759,694,645,2681,916,893,1281,1694,971,1813,787,1268,1464,1030,614,789,1155,1028,1692,810,655,511,918,1227,317,1266,588,599,865,641,563
OG_13066,Peve_00003034,17699,37684,22024,6557,43188,16190,32684,13578,17529,17196,51780,10337,26144,23624,24389,21111,38965,21393,11626,25698,9477,11653,6755,14016,16540,20134,5114,10771,11018,23060,15253,3908,22206,11099,4506,16871,8900,6519
OG_00297,Peve_00003176,35,35,26,12,34,18,41,7,13,12,35,19,21,20,37,66,35,32,39,17,19,7,9,30,0,71,11,8,4,34,38,45,15,2,34,39,17,0
OG_00298,Peve_00003177,15,42,10,20,12,19,61,16,0,2,7,20,0,5,20,48,27,3,37,48,0,4,8,57,19,26,7,4,0,10,32,11,19,0,29,25,0,2
OG_00302,Peve_00003157,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,7,0,18,0,0,0
OG_03671,Peve_00003523,3165,25729,13942,6708,9427,5799,7495,10633,15555,7031,6814,7452,8993,7204,5281,11598,27788,13108,3595,7725,16038,1673,16408,9643,9702,14809,12392,1634,3533,5540,10970,4311,13629,4687,8602,8833,16042,2736
OG_00842,Peve_00003956,3,39,9,5,10,15,14,18,11,42,24,11,5,0,8,35,31,32,20,9,22,3,12,11,6,33,7,2,5,7,13,19,5,3,3,0,15,0
OG_00843,Peve_00003934,2087,5120,2872,3976,6686,4685,3086,2606,4126,11391,8543,3651,3055,5902,4862,17796,4384,5173,1985,2632,1936,299,8950,5096,1557,5916,2941,668,2286,1974,8072,4191,4102,3758,8563,2935,3035,1234
OG_10522,Peve_00005215,21,10,0,10,24,15,44,0,55,40,23,13,32,16,52,44,21,12,29,22,13,21,65,78,123,87,11,14,0,12,12,12,25,8,26,41,9,26
OG_16000,Peve_00005199,3940,2644,734,2081,2503,861,4568,617,3093,3446,3498,1366,2674,2219,2518,3200,1234,953,3968,2491,1488,2873,3457,5561,8138,5731,1952,2122,639,2397,2795,934,3426,1336,2811,2614,764,1641
OG_12805,Peve_00005899,2,11,7,7,19,4,13,0,0,4,26,17,27,11,3,20,0,0,3,7,9,3,16,3,0,19,0,0,9,6,14,24,16,4,6,0,0,0
OG_03673,Peve_00006268,1052,311,403,599,632,230,653,155,242,683,777,295,264,430,1309,779,665,350,609,424,189,211,469,1167,634,1235,503,197,93,250,1355,512,438,451,499,1204,303,535
OG_08145,Peve_00006728,0,3,6,10,26,8,30,9,0,12,75,18,37,40,29,55,23,18,0,35,8,7,0,30,11,34,7,0,7,10,22,27,17,18,24,0,0,11
OG_08144,Peve_00006734,808,617,396,89,231,348,1216,630,170,63,708,739,212,231,263,1108,434,73,1197,1024,220,173,611,846,788,1381,237,65,99,206,1146,585,304,103,851,828,325,229
OG_08143,Peve_00006733,942,674,523,107,259,397,1245,547,179,107,674,720,239,247,424,1339,567,123,1207,1016,190,145,1367,1130,788,1294,269,81,137,197,1299,585,326,111,920,745,209,420
OG_08347,Peve_00006965,1206,821,690,414,1207,254,822,341,154,1850,1374,423,762,876,781,1730,889,678,1173,499,320,534,1795,1106,773,1190,583,350,180,248,811,523,740,133,1117,252,252,534
OG_01147,Peve_00007775,618,174,79,51,172,62,113,83,41,223,253,60,41,95,75,206,315,88,147,58,104,197,146,302,130,450,102,52,37,36,258,76,104,86,119,115,36,124
OG_10675,Peve_00007777,2408,598,334,630,673,337,1061,256,698,1739,1148,218,475,553,772,322,570,266,2309,660,749,2054,815,2109,2073,2184,882,1651,256,744,626,412,583,508,1087,1397,503,1416
OG_07772,Peve_00009294,43,0,0,0,0,0,0,0,0,7,10,0,13,0,0,0,0,0,2,6,3,0,18,3,8,11,0,0,0,0,0,0,12,0,10,2,0,0
OG_12927,Peve_00010254,7,0,16,0,3,0,0,0,0,69,0,0,0,0,0,3,0,0,0,0,126,5,0,0,0,0,111,88,0,0,0,0,0,0,2,0,59,0
OG_16270,Peve_00010264,28,24,19,24,9,7,11,3,0,19,69,8,9,26,41,93,13,13,56,76,8,5,16,36,36,28,9,3,2,16,85,64,47,7,26,13,9,0
OG_02439,Peve_00010355,24,528,174,147,18,0,26,0,0,0,775,42,204,87,1852,622,6090,1354,60,182,5,2,5,16,0,16,0,0,30,583,649,82,1987,561,0,118,0,12
OG_16289,Peve_00010574,10,36,8,8,45,20,13,12,0,34,18,20,3,17,23,50,6,0,0,16,0,0,41,0,0,27,8,0,0,0,9,13,0,19,21,21,14,16
OG_02163,Peve_00010577,57,69,41,35,25,9,31,12,14,3,29,8,34,41,42,44,33,11,0,45,0,0,7,28,0,8,4,4,0,33,38,12,19,6,48,4,0,6
OG_10937,Peve_00011012,9,3,11,0,26,0,0,0,0,6,0,0,0,4,0,13,21,7,7,3,0,0,12,0,22,3,0,0,0,2,7,0,0,0,13,0,3,0
OG_16307,Peve_00011002,12,3,0,22,25,14,16,8,7,3,25,0,6,15,33,13,12,0,0,12,5,0,9,0,0,24,0,2,11,30,18,23,15,18,19,16,0,5
OG_10936,Peve_00011003,105,19,50,55,64,40,61,13,67,127,96,17,59,72,124,169,82,62,138,56,32,92,135,85,41,131,76,36,25,97,150,86,66,53,229,116,40,75
OG_02148,Peve_00011006,341,111,76,131,231,44,155,61,28,163,178,47,117,217,170,192,141,86,251,120,76,97,281,136,109,275,56,29,55,104,277,97,112,81,233,204,26,174
OG_03850,Peve_00011271,16,4,5,0,215,61,35,18,35,531,8,5,0,0,0,13,7,3,7,35,7,0,206,107,69,134,144,112,59,67,12,14,5,0,13,13,7,0
OG_09969,Peve_00011388,3254,518,458,224,1002,524,801,366,592,4062,962,563,272,405,686,945,1011,401,680,634,1318,792,286,535,2329,667,2713,2953,258,473,950,172,729,297,615,517,1217,965
OG_13481,Peve_00011686,257,57,110,105,261,102,511,102,130,555,465,101,290,227,481,357,360,134,54,113,134,158,31,11,256,11,409,511,72,114,304,55,327,43,91,200,210,147
OG_11429,Peve_00011812,330,289,80,15,85,69,95,44,35,64,219,37,15,49,97,55,137,75,51,184,53,36,35,133,96,133,12,24,22,66,87,38,42,80,24,35,43,15
OG_16359,Peve_00011819,638,24,13,22,10,3,46,0,3,7,9,0,6,6,210,22,34,28,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0
OG_16383,Peve_00012112,201,256,3,32,0,9,0,0,6,15,45,0,0,9,0,28,0,30,0,0,15,0,15,0,5,0,386,11,0,13,6,2,12,4,0,0,51,5
OG_00510,Peve_00012117,735,1336,445,215,989,445,773,456,486,1566,1334,466,254,497,502,660,1107,639,193,404,344,171,317,908,1161,1200,380,802,348,664,644,438,555,539,355,722,486,360
OG_00514,Peve_00012118,84,85,94,12,153,74,31,55,20,110,60,13,26,14,35,212,69,81,47,32,65,41,62,68,13,69,15,5,10,5,29,53,38,12,63,12,20,18
OG_11852,Peve_00012295,8,18,18,0,0,3,20,10,0,12,23,5,0,8,42,5,12,10,9,27,0,2,0,27,0,6,0,0,2,9,0,0,4,14,0,0,0,0
OG_16389,Peve_00012296,24,58,31,9,20,49,28,11,0,10,21,0,10,10,38,16,13,14,24,73,9,0,0,27,0,10,0,0,0,10,11,3,6,8,7,0,4,0
OG_02190,Peve_00013775,6580,953,383,1080,565,188,1229,113,673,296,2151,623,1040,1386,860,308,233,167,858,457,134,658,1117,3702,2878,3756,323,402,33,318,2095,477,483,1043,702,4200,540,1596
OG_16489,Peve_00013849,40,22,28,16,0,0,338,67,0,0,0,0,0,0,45,79,26,24,120,141,82,52,25,30,23,55,137,40,38,84,156,86,191,28,0,0,0,0
OG_07252,Peve_00015570,233,247,157,45,87,177,559,140,88,14,171,168,61,70,118,615,173,42,632,476,70,55,167,297,199,497,103,19,61,113,301,45,158,48,344,260,135,117
OG_16585,Peve_00015572,21,8,10,0,18,0,25,0,7,11,14,0,11,3,8,31,10,3,50,25,0,0,28,13,7,32,12,0,0,8,24,0,16,6,51,0,5,4
OG_16586,Peve_00015573,0,0,0,0,0,2,0,0,0,0,20,36,9,16,14,127,48,0,13,0,0,0,0,18,12,0,0,0,0,7,0,0,0,0,6,8,0,0
