gene_id,cor,pval,padj,direction
Peve_00036533,0.6113281215688728,7.471487175288031e-05,0.015274318564436661,positive
Peve_00040186,-0.667430406610323,7.6528039764914e-05,0.015476767439768844,negative
Peve_00044382,-0.6240055919621328,8.032832901117698e-05,0.01607129930472524,negative
Peve_00004716,0.6019064547698956,8.117680954641097e-05,0.01607129930472524,positive
Peve_00016848,-0.6553198293716008,8.484819118952672e-05,0.01645180185456308,negative
Peve_00033561,0.6007192313335128,8.456303469056732e-05,0.01645180185456308,positive
Peve_00009654,0.6439217591889447,9.286116332354889e-05,0.017721031072362635,positive
Peve_00019976,0.6524765186839349,9.327850256081991e-05,0.017721031072362635,positive
Peve_00006039,-0.6266990633917234,9.536553011354745e-05,0.017936348903756002,negative
Peve_00002484,0.5968719135050589,9.643091676456809e-05,0.017957155272356404,positive
Peve_00032669,0.632831870739183,0.00010164995277908903,0.018561478756010743,positive
Peve_00027533,0.5954979977186636,0.00010102019980343656,0.018561478756010743,positive
Peve_00022980,-0.5940400840190319,0.00010610463137872324,0.01918861449010603,negative
Peve_00023518,0.6077997157607061,0.00010768926996668657,0.019289712281270865,positive
Peve_00032894,0.6141604794139933,0.00011175023903889606,0.01982828769663733,positive
Peve_00043046,0.6361833009327159,0.00011969408801951565,0.02103931221935561,positive
Peve_00037461,0.5888978917371935,0.00012593288115285607,0.021930978043730714,positive
Peve_00030460,0.6179327269734505,0.00012723124536129606,0.021953809750048226,positive
Peve_00040195,0.5881446724176134,0.00012910185537290625,0.022074069962305643,positive
Peve_00025388,0.6079498493218939,0.0001368551432025629,0.022981888690658953,positive
Peve_00030639,0.6592104616221001,0.00013612287059350725,0.022981888690658953,positive
Peve_00009960,0.599750960487375,0.00014022404198081614,0.023168503718406896,positive
Peve_00035869,-0.5855816757886629,0.00014043010548162412,0.023168503718406896,negative
Peve_00004515,0.6122480143837535,0.00015268809943312712,0.024971806731637,positive
Peve_00013610,0.581913560430969,0.00015820074783370468,0.025251281118052284,positive
Peve_00025507,0.6033825774896889,0.00015842466886060023,0.025251281118052284,positive
Peve_00039752,0.6451019580470312,0.00015796607331195953,0.025251281118052284,positive
Peve_00032398,0.6026148461148947,0.00016233502079944433,0.025378242688679,positive
Peve_00011298,0.5953947789162084,0.00016128879562588816,0.025378242688679,positive
Peve_00019445,0.6101319223343189,0.0001632692133842067,0.025378242688679,positive
Peve_00027004,0.5871139762993717,0.00016716087747985613,0.025770178554435526,positive
Peve_00027064,-0.5799063509577467,0.0001687581653413153,0.02580490710357283,negative
Peve_00024110,0.5793318767135766,0.00017189412492849202,0.026072457271411918,positive
Peve_00012127,0.6226039480017544,0.00018385098714184537,0.027443407667966886,positive
Peve_00035193,-0.5914394552523254,0.0001828268875354443,0.027443407667966886,negative
Peve_00029468,0.6057389999619699,0.00018735109369633502,0.027642462603682326,positive
Peve_00015935,0.5765012775346371,0.00018812394796210855,0.027642462603682326,positive
Peve_00033897,0.5901893216486975,0.00019015093834310665,0.027723712002768606,positive
Peve_00026973,0.5749955904914706,0.00019730636047334357,0.02854567713678958,positive
Peve_00034934,0.5742863326299469,0.00020176956649907858,0.028749106111474774,positive
Peve_00015193,-0.6034094823655866,0.0002013666279926521,0.028749106111474774,negative
Peve_00009673,0.6185686533039093,0.0002080646555711354,0.029423158210390335,positive
Peve_00038504,-0.5730032546631061,0.00021007453290733104,0.029485685185978227,negative
Peve_00038298,-0.5853767540145669,0.00022086109130641538,0.03077004003919304,negative
Peve_00024064,0.5775199711757533,0.00022603049046765212,0.03125868724055589,positive
Peve_00019719,0.6331032721812316,0.00022782870260106575,0.03127738860234193,positive
Peve_00040489,-0.5684335188097118,0.00024220315080355172,0.03300983232111015,negative
Peve_00028336,-0.5672858204678541,0.0002509347528189198,0.0339538189281888,negative
Peve_00009371,-0.5664249248829678,0.0002576684287295444,0.03461591291103765,negative
Peve_00037452,-0.5871179146891171,0.00026212632305827767,0.034965048823263026,negative
Peve_00025355,0.5632077855830082,0.00028428842709767645,0.03765420237220492,positive
Peve_00037323,-0.5628958742810762,0.0002869958691479195,0.03774698116737112,negative
Peve_00001093,0.5692017539132548,0.00029142754594821266,0.03806367558468044,positive
Peve_00002451,0.5608713415711767,0.00030513742694200473,0.039579480868449826,positive
Peve_00028175,0.5742415098140324,0.00030954271051435194,0.039875885612013225,positive
Peve_00024747,0.5592567881466738,0.0003203334715190779,0.04070832386710012,positive
Peve_00014217,0.566245271478498,0.0003184583147433503,0.04070832386710012,positive
Peve_00031527,0.6268505946148669,0.0003578009724940726,0.045164568393748446,positive
Peve_00031529,0.5549434322273511,0.00036430393860947173,0.045376347532231416,positive
Peve_00011295,0.5549463761395328,0.00036427217556084934,0.045376347532231416,positive
Peve_00015675,-0.5540813924087494,0.0003737119891984035,0.04624194140028667,negative
Peve_00026251,0.5605490026551226,0.00037692759624056397,0.046334994967925015,positive
Peve_00029767,-0.5533109255556302,0.0003823036808160845,0.04669069888823972,negative
Peve_00013438,0.5885369263899156,0.0003954904608982332,0.047618177125836075,positive
Peve_00026259,-0.6048018840026392,0.00039976447296643115,0.047618177125836075,negative
Peve_00038926,0.6232704436231689,0.00039557919214513885,0.047618177125836075,positive
Peve_00019999,-0.5517693981163262,0.000400025094953323,0.047618177125836075,negative
Peve_00038092,0.5500594920425472,0.00042053696739358446,0.04943412051711585,positive
Peve_00016213,0.5569294527958836,0.0004188823249519966,0.04943412051711585,positive
