gene_id,cor,pval,padj,direction
Pocillopora_meandrina_HIv1___RNAseq.g27090.t1,0.7247724135765465,2.7187623751720884e-06,0.002470562026672003,positive
Pocillopora_meandrina_HIv1___RNAseq.g28936.t1,0.7394640641030017,3.0354313071907014e-06,0.00264798885514088,positive
Pocillopora_meandrina_HIv1___RNAseq.g4101.t1,0.7205586999610737,3.3088687756438138e-06,0.0027755045818467663,positive
Pocillopora_meandrina_HIv1___RNAseq.g1996.t2,0.7181457663478584,3.6969853670383607e-06,0.002815345440058852,positive
Pocillopora_meandrina_HIv1___RNAseq.g16199.t1,-0.7531606802939844,3.7436387620572567e-06,0.002815345440058852,negative
Pocillopora_meandrina_HIv1___RNAseq.g6561.t1b,0.7185064442512006,3.6364601955472887e-06,0.002815345440058852,positive
Pocillopora_meandrina_HIv1___RNAseq.g19722.t1,-0.7146150452878729,4.339651093216389e-06,0.003154781689731874,negative
Pocillopora_meandrina_HIv1___RNAseq.g15577.t1,0.7283718985902362,5.042734772323111e-06,0.0034464975517984695,positive
Pocillopora_meandrina_HIv1___RNAseq.g27043.t1,0.7111959187984109,5.056991226445551e-06,0.0034464975517984695,positive
Pocillopora_meandrina_HIv1___TS.g25186.t1,-0.7261223668212353,5.572977798285877e-06,0.003598627315379459,negative
Pocillopora_meandrina_HIv1___RNAseq.g7470.t1,0.7088476775239398,5.610221868169179e-06,0.003598627315379459,positive
Pocillopora_meandrina_HIv1___RNAseq.g8717.t1,0.7075871211881359,5.929317302695982e-06,0.003627931440737359,positive
Pocillopora_meandrina_HIv1___TS.g26467.t1,0.7073597025006202,5.988607082697277e-06,0.003627931440737359,positive
Pocillopora_meandrina_HIv1___TS.g23180.t1,-0.7064033809098909,6.243854300709296e-06,0.003680330228220785,negative
Pocillopora_meandrina_HIv1___RNAseq.g16318.t1,-0.702489740621869,7.39442654937115e-06,0.004243817068821984,negative
Pocillopora_meandrina_HIv1___RNAseq.g14703.t1,0.7062502990659355,9.019601824380457e-06,0.0050438075945618815,positive
Pocillopora_meandrina_HIv1___RNAseq.g15650.t1,0.6960865902970457,9.696354973314684e-06,0.00515775135641512,positive
Pocillopora_meandrina_HIv1___RNAseq.g19736.t1c,0.6966693214050862,9.462825787702652e-06,0.00515775135641512,positive
Pocillopora_meandrina_HIv1___TS.g25731.t1,-0.6947652823462211,1.0245302269310399e-05,0.005196274353288151,negative
Pocillopora_meandrina_HIv1___RNAseq.g19231.t1,0.6950870293323228,1.01091014644657e-05,0.005196274353288151,positive
Pocillopora_meandrina_HIv1___RNAseq.g4332.t1,0.693610970909947,1.074771324837604e-05,0.00532720177804166,positive
Pocillopora_meandrina_HIv1___RNAseq.g20982.t1b,0.6922559913113009,1.1365828148444805e-05,0.005388637958465929,positive
Pocillopora_meandrina_HIv1___RNAseq.g4423.t1,-0.6926650869057873,1.1175903039651917e-05,0.005388637958465929,negative
Pocillopora_meandrina_HIv1___TS.g23606.t1,0.6908986813896091,1.201706069300695e-05,0.005576171843697629,positive
Pocillopora_meandrina_HIv1___RNAseq.g4031.t1,0.6946251203011922,1.4552166070156938e-05,0.006611837288001097,positive
Pocillopora_meandrina_HIv1___TS.g16453.t1,0.6840127238818836,1.5870752390992956e-05,0.0070250779682151845,positive
Pocillopora_meandrina_HIv1___RNAseq.g27652.t1,0.6835515670894832,1.6164887789515893e-05,0.0070250779682151845,positive
Pocillopora_meandrina_HIv1___RNAseq.g3177.t1,-0.6915907693395734,1.642803321468084e-05,0.0070250779682151845,negative
Pocillopora_meandrina_HIv1___TS.g9632.t1,0.6816820785041151,1.7408384903977563e-05,0.007301143584054743,positive
Pocillopora_meandrina_HIv1___RNAseq.g22113.t1,0.6977528928964364,1.8193707538128404e-05,0.007486539013189478,positive
Pocillopora_meandrina_HIv1___RNAseq.g25814.t1,0.6872772377209723,1.9470235996251233e-05,0.007737951224853758,positive
Pocillopora_meandrina_HIv1___TS.g4593.t1,-0.678774884808677,1.9514297646244975e-05,0.007737951224853758,negative
Pocillopora_meandrina_HIv1___RNAseq.g17002.t1,0.7117086049930306,2.169325973927926e-05,0.008157039683688645,positive
Pocillopora_meandrina_HIv1___RNAseq.g12176.t1,0.684772978223437,2.1460652601271225e-05,0.008157039683688645,positive
Pocillopora_meandrina_HIv1___RNAseq.g3784.t1,0.6764219051439604,2.138412906022203e-05,0.008157039683688645,positive
Pocillopora_meandrina_HIv1___RNAseq.g22983.t2a,-0.673121526846473,2.427927839984825e-05,0.008974691230886279,negative
Pocillopora_meandrina_HIv1___RNAseq.g1249.t1,-0.6947398092338863,2.8939554911310175e-05,0.010141043936377842,negative
Pocillopora_meandrina_HIv1___RNAseq.g6499.t1,0.6681641954035209,2.9294592507304512e-05,0.010141043936377842,positive
Pocillopora_meandrina_HIv1___RNAseq.g1876.t1,0.6689659680627518,2.8424981475908925e-05,0.010141043936377842,positive
Pocillopora_meandrina_HIv1___RNAseq.g10783.t1a,-0.6768147692380238,2.9060495526026858e-05,0.010141043936377842,negative
