gene_id,regulation,is_biomin
Peve_00004975,lncRNA_only,False
Peve_00031638,lncRNA_only,False
Peve_00044095,lncRNA_only,False
Peve_00041499,lncRNA_only,False
Peve_00041749,lncRNA_only,False
Peve_00021286,lncRNA_only,False
Peve_00019727,lncRNA_only,False
Peve_00025131,lncRNA_only,False
Peve_00032053,lncRNA_only,False
Peve_00001052,lncRNA_only,False
Peve_00041434,lncRNA_only,False
Peve_00034523,lncRNA_only,False
Peve_00026913,lncRNA_only,False
Peve_00016135,lncRNA_only,False
Peve_00024780,lncRNA_only,False
Peve_00045097,lncRNA_only,False
Peve_00002201,lncRNA_only,False
Peve_00004243,lncRNA_only,False
Peve_00013848,lncRNA_only,False
Peve_00043241,lncRNA_only,False
Peve_00023572,lncRNA_only,False
Peve_00006664,lncRNA_only,False
Peve_00023969,lncRNA_only,False
Peve_00038970,lncRNA_only,False
Peve_00019525,lncRNA_only,False
Peve_00032780,lncRNA_only,False
Peve_00018706,lncRNA_only,False
Peve_00007623,lncRNA_only,False
Peve_00024437,lncRNA_only,False
Peve_00030940,lncRNA_only,False
Peve_00041156,lncRNA_only,True
Peve_00021828,lncRNA_only,False
Peve_00003726,lncRNA_only,False
Peve_00026229,lncRNA_only,False
Peve_00037847,lncRNA_only,False
Peve_00024111,lncRNA_only,False
Peve_00015322,lncRNA_only,False
Peve_00040888,lncRNA_only,False
Peve_00021373,lncRNA_only,False
Peve_00005508,lncRNA_only,False
Peve_00007990,lncRNA_only,False
Peve_00019443,lncRNA_only,False
Peve_00035858,lncRNA_only,False
Peve_00042393,lncRNA_only,False
Peve_00007729,lncRNA_only,False
Peve_00030297,lncRNA_only,False
Peve_00032883,lncRNA_only,False
Peve_00016557,lncRNA_only,False
Peve_00001296,lncRNA_only,False
Peve_00001163,lncRNA_only,False
Peve_00010936,lncRNA_only,False
Peve_00001127,lncRNA_only,False
Peve_00007921,lncRNA_only,False
Peve_00026541,lncRNA_only,False
Peve_00023828,lncRNA_only,False
Peve_00042412,lncRNA_only,False
Peve_00018718,lncRNA_only,False
Peve_00013215,lncRNA_only,False
Peve_00043681,lncRNA_only,False
Peve_00005697,lncRNA_only,False
Peve_00041490,lncRNA_only,False
Peve_00023241,lncRNA_only,False
Peve_00020293,lncRNA_only,False
Peve_00017807,lncRNA_only,False
Peve_00011120,lncRNA_only,False
Peve_00017940,lncRNA_only,False
Peve_00001765,lncRNA_only,False
Peve_00033625,lncRNA_only,False
Peve_00025292,lncRNA_only,False
Peve_00043725,lncRNA_only,False
Peve_00035375,lncRNA_only,False
Peve_00009873,lncRNA_only,False
Peve_00039264,lncRNA_only,False
Peve_00030765,lncRNA_only,False
Peve_00043425,lncRNA_only,False
Peve_00008665,lncRNA_only,False
Peve_00008402,lncRNA_only,False
Peve_00007305,lncRNA_only,False
Peve_00032131,lncRNA_only,False
Peve_00020135,lncRNA_only,False
Peve_00030971,lncRNA_only,False
Peve_00008225,lncRNA_only,False
Peve_00032161,lncRNA_only,False
Peve_00006455,lncRNA_only,False
Peve_00043449,lncRNA_only,False
Peve_00028818,lncRNA_only,False
Peve_00043685,lncRNA_only,False
Peve_00015937,lncRNA_only,False
Peve_00041611,lncRNA_only,False
Peve_00042140,lncRNA_only,False
Peve_00006940,lncRNA_only,False
Peve_00016461,lncRNA_only,False
Peve_00029476,lncRNA_only,False
Peve_00010015,lncRNA_only,False
Peve_00008596,lncRNA_only,False
Peve_00022136,lncRNA_only,False
Peve_00029111,lncRNA_only,False
Peve_00020530,lncRNA_only,False
Peve_00016060,lncRNA_only,False
Peve_00002326,lncRNA_only,False
Peve_00014505,lncRNA_only,False
Peve_00039369,lncRNA_only,False
Peve_00042934,lncRNA_only,False
Peve_00026592,lncRNA_only,False
Peve_00012921,lncRNA_only,False
Peve_00041837,lncRNA_only,False
Peve_00030326,lncRNA_only,False
Peve_00009959,lncRNA_only,False
Peve_00029231,lncRNA_only,False
Peve_00027103,lncRNA_only,False
Peve_00040111,lncRNA_only,False
Peve_00011858,lncRNA_only,False
Peve_00019233,lncRNA_only,False
Peve_00002584,lncRNA_only,False
Peve_00029205,lncRNA_only,False
Peve_00003817,lncRNA_only,False
Peve_00044402,lncRNA_only,False
Peve_00037184,lncRNA_only,False
Peve_00028077,lncRNA_only,False
Peve_00000890,lncRNA_only,False
Peve_00044673,lncRNA_only,False
Peve_00018618,lncRNA_only,False
Peve_00012351,lncRNA_only,False
Peve_00018131,lncRNA_only,False
Peve_00022756,lncRNA_only,False
Peve_00008723,lncRNA_only,False
Peve_00013410,lncRNA_only,False
Peve_00016093,lncRNA_only,False
Peve_00017628,lncRNA_only,False
Peve_00027341,lncRNA_only,False
Peve_00001926,lncRNA_only,False
Peve_00042520,lncRNA_only,False
Peve_00043325,lncRNA_only,False
Peve_00033702,lncRNA_only,False
Peve_00018945,lncRNA_only,False
Peve_00040091,lncRNA_only,False
Peve_00035374,lncRNA_only,False
Peve_00020699,lncRNA_only,False
Peve_00004327,lncRNA_only,False
Peve_00039025,lncRNA_only,False
Peve_00043945,lncRNA_only,False
Peve_00006683,lncRNA_only,False
Peve_00018605,lncRNA_only,False
Peve_00013484,lncRNA_only,False
Peve_00001876,lncRNA_only,False
Peve_00019843,lncRNA_only,False
Peve_00002292,lncRNA_only,False
Peve_00008224,lncRNA_only,False
Peve_00038277,lncRNA_only,False
Peve_00031366,lncRNA_only,False
Peve_00020654,lncRNA_only,False
Peve_00004574,lncRNA_only,False
Peve_00038083,lncRNA_only,False
Peve_00038986,lncRNA_only,False
Peve_00041702,lncRNA_only,False
Peve_00023150,lncRNA_only,False
Peve_00032990,lncRNA_only,False
Peve_00042804,lncRNA_only,False
Peve_00017902,lncRNA_only,True
Peve_00040880,lncRNA_only,True
Peve_00044067,lncRNA_only,False
Peve_00033306,lncRNA_only,False
Peve_00015886,lncRNA_only,False
Peve_00013511,lncRNA_only,False
Peve_00036722,lncRNA_only,False
Peve_00023857,lncRNA_only,False
Peve_00022130,lncRNA_only,False
Peve_00006850,lncRNA_only,False
Peve_00028589,lncRNA_only,False
Peve_00027720,lncRNA_only,False
Peve_00019502,lncRNA_only,False
Peve_00017079,lncRNA_only,False
Peve_00039067,lncRNA_only,False
Peve_00012409,lncRNA_only,False
Peve_00028248,lncRNA_only,False
Peve_00030088,lncRNA_only,False
Peve_00038111,lncRNA_only,False
Peve_00024367,lncRNA_only,False
Peve_00022842,lncRNA_only,False
Peve_00012525,lncRNA_only,False
Peve_00031068,lncRNA_only,False
Peve_00033444,lncRNA_only,False
Peve_00034690,lncRNA_only,False
Peve_00042310,lncRNA_only,False
Peve_00003544,lncRNA_only,False
Peve_00014025,lncRNA_only,False
Peve_00039709,lncRNA_only,False
Peve_00001140,lncRNA_only,False
Peve_00041337,lncRNA_only,False
Peve_00013666,lncRNA_only,False
Peve_00022989,lncRNA_only,False
Peve_00031838,lncRNA_only,False
Peve_00027791,lncRNA_only,False
Peve_00024822,lncRNA_only,False
Peve_00024320,lncRNA_only,False
Peve_00001848,lncRNA_only,False
