feature,id,pval,qval
exon,141026,2.8441144994673095e-9,3.010269292003398e-6
exon,64882,2.896465955970484e-9,3.034499688409852e-6
exon,114409,3.0162673470002233e-9,3.1431118732933235e-6
exon,25588,3.0420452823420874e-9,3.1531122973314287e-6
exon,207417,3.079527410854155e-9,3.175074229569757e-6
exon,20504,3.2314773079633596e-9,3.2968512782145134e-6
exon,173753,3.2297102769973662e-9,3.2968512782145134e-6
exon,178781,3.2853305631519447e-9,3.3343367440522944e-6
exon,41809,3.352553124003066e-9,3.376261677336681e-6
exon,76539,3.361291800452193e-9,3.376261677336681e-6
exon,37785,3.4106153457003074e-9,3.3908476975742074e-6
exon,186233,3.399412529248025e-9,3.3908476975742074e-6
exon,83469,3.6180236584471004e-9,3.5656027012238392e-6
exon,83470,3.6412828308129974e-9,3.5656027012238392e-6
exon,179683,3.6264712344191707e-9,3.5656027012238392e-6
exon,84491,3.6703459160847274e-9,3.5760914329596716e-6
exon,19102,3.757094857448351e-9,3.6424006582179874e-6
exon,23005,3.7881744407997076e-9,3.6543506150098724e-6
exon,33587,3.8194454266005096e-9,3.6663665695028656e-6
exon,83473,3.869943476786375e-9,3.69663071402206e-6
exon,12338,3.909618850883589e-9,3.7163120378467304e-6
exon,6234,3.9365650739142666e-9,3.723761245452571e-6
exon,38420,3.983665064488662e-9,3.7501106721087854e-6
exon,507,4.044674484227073e-9,3.7562409052660825e-6
exon,34026,4.065915271134202e-9,3.7562409052660825e-6
exon,148097,4.067281955677515e-9,3.7562409052660825e-6
exon,199816,4.0654375421667055e-9,3.7562409052660825e-6
exon,39346,4.157051813891144e-9,3.8030973927797365e-6
exon,108229,4.1391285954262e-9,3.8030973927797365e-6
exon,135715,4.2609833439399836e-9,3.861917480621028e-6
exon,141027,4.257006858132684e-9,3.861917480621028e-6
exon,193865,4.294444466701464e-9,3.874225122959787e-6
exon,141029,4.417520127475427e-9,3.966892360001712e-6
exon,5687,4.589359225981582e-9,4.102297689044381e-6
exon,147793,4.717518597985304e-9,4.197600657889536e-6
exon,25584,4.776124162830797e-9,4.211288049166789e-6
exon,80418,4.77582040581126e-9,4.211288049166789e-6
exon,83656,4.901115957522961e-9,4.3020318015619565e-6
exon,31485,5.059322294442836e-9,4.420985558674031e-6
exon,168511,5.144996650940925e-9,4.4757795865578236e-6
exon,146890,5.294722438264898e-9,4.58555908093356e-6
exon,129723,5.404515945883759e-9,4.659936262295101e-6
exon,168512,5.531902824706947e-9,4.748760845963412e-6
exon,7434,5.6214415344868485e-9,4.804458698141426e-6
exon,179909,5.656593637937135e-9,4.813390666650576e-6
exon,112460,5.845269379634033e-9,4.952315532143505e-6
exon,61539,5.899458255242962e-9,4.966682188788436e-6
exon,124789,5.938690317286444e-9,4.966682188788436e-6
exon,184121,5.914640333060106e-9,4.966682188788436e-6
exon,76280,6.024336807186614e-9,5.016779348699198e-6
exon,83655,6.0760544373650305e-9,5.025339407929602e-6
exon,97939,6.098613725136204e-9,5.025339407929602e-6
exon,100220,6.1119829197764375e-9,5.025339407929602e-6
exon,163156,6.148735187672116e-9,5.034315687439241e-6
exon,63626,6.2442579995547476e-9,5.069921211771818e-6
exon,179681,6.221780424198187e-9,5.069921211771818e-6
exon,5805,6.379756944951964e-9,5.075229292733743e-6
exon,53516,6.3130762839591625e-9,5.075229292733743e-6
exon,116178,6.375139749437153e-9,5.075229292733743e-6
exon,151157,6.329164747853611e-9,5.075229292733743e-6
exon,201504,6.38102048977629e-9,5.075229292733743e-6
exon,34029,6.413835684782043e-9,5.080592182436456e-6
exon,181556,6.524204065883055e-9,5.1470951461305085e-6
exon,7433,6.7444196893973185e-9,5.278090756444655e-6
exon,26270,6.727526535854622e-9,5.278090756444655e-6
exon,127757,6.811737618406255e-9,5.309449757092466e-6
exon,508,6.945202524200056e-9,5.39191213018215e-6
exon,195315,7.041577765320994e-9,5.445039720879009e-6
exon,103656,7.1103480880907455e-9,5.454924684400453e-6
exon,159973,7.0990902045764415e-9,5.454924684400453e-6
exon,53513,7.187047734724672e-9,5.49214458737015e-6
exon,83657,7.2428842923244474e-9,5.513192987263715e-6
exon,116179,7.349512554100102e-9,5.572589160864444e-6
exon,184120,7.531636092572569e-9,5.688545486601012e-6
exon,106498,7.594811002320512e-9,5.692135581369939e-6
exon,148886,7.58474572037926e-9,5.692135581369939e-6
exon,25585,7.739941243478654e-9,5.756625612477956e-6
exon,97713,7.728045647859005e-9,5.756625612477956e-6
exon,184118,7.827710479801908e-9,5.799767965536575e-6
exon,37436,7.954477077021238e-9,5.8713682618813126e-6
exon,34028,8.003419704749604e-9,5.885201423948403e-6
exon,34032,8.251956229443635e-9,6.0451473635124235e-6
exon,19101,8.342697976893021e-9,6.070189110401279e-6
