exon_id,n_samples,n_cpgs_nearby,n_cpgs_tested,n_cpgs_selected,cv_method,rf_r2_cv,rf_r2_std,enet_r2_cv,enet_r2_std,enet_alpha,enet_l1_ratio,n_nonzero_coefs,best_r2_cv,best_model,species
gene-Pocillopora_meandrina_HIv1___RNAseq.g21826.t1_7375,32,3,3,3,5-fold,-0.5249417231381172,1.5313343072516477,-0.06944542362042763,0.5148141644182633,14.134780628240328,0.99,2,-0.06944542362042763,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g1463.t1_182860,32,35,24,24,5-fold,-0.25645745796307146,0.23483040138642083,-0.5988012425223402,0.40451371991461227,0.283668774077635,0.7,24,-0.25645745796307146,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g11166.t3_128536,32,4,4,4,5-fold,-1.3311924953631726,1.9471227757314225,-1.2088211159784348,2.124809531035179,6.616575527877666,0.1,4,-1.2088211159784348,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g29336.t1_135967,32,10,9,9,5-fold,-0.36911921694450534,0.2280706239248833,-0.12057496894069239,0.1347517955448051,605.4475806724232,0.1,0,-0.12057496894069239,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g29821.t1_196976,32,6,6,6,5-fold,-1.1306005576982066,1.1431425734321363,-0.7473824803027852,1.0497244389575298,2197.9144243076935,0.1,0,-0.7473824803027852,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g26183.t1_119051,32,10,10,10,5-fold,-1.1848373837477593,1.394686431650563,-0.9238857772836433,1.0364698323944093,692.3981820551656,0.1,0,-0.9238857772836433,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g20001.t1_24168,32,2,2,2,5-fold,-0.2671601929186809,0.3156378671193407,-0.1389542044648125,0.15113323403370363,0.6550374978883412,0.5,2,-0.1389542044648125,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g5720.t1_80666,32,11,11,11,5-fold,-0.6254526114581065,0.44018760243187666,-0.3849445908372082,0.3205404232780075,21.175590747394473,0.99,7,-0.3849445908372082,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g24210.t1_79178,32,154,136,100,5-fold,-1.5452816301686925,1.7585771918495756,-0.96727161581154,1.2384094530472471,1909.2579739087478,0.1,0,-0.96727161581154,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g8326.t1_101754,32,21,21,21,5-fold,-7.2411737639719975,9.893556598633177,-6.7401734371019,10.257243893341126,52.05876222894856,0.99,2,-6.7401734371019,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g11060.t1_153977,32,54,46,46,5-fold,-1.1002290789793523,0.8420654241862399,-1.2440638441633856,1.2316508437296443,1793.8666088417417,0.1,0,-1.1002290789793523,RF,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g24210.t1_79217,32,26,21,21,5-fold,-0.6186259602577253,0.7066099214536959,-0.5173862875014283,0.4146358324082881,0.8355856519122792,0.5,21,-0.5173862875014283,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g5186.t1_77187,32,13,13,13,5-fold,-393.17659901804166,483.5488919037791,-453.991919352472,586.2052859886305,0.7511306889628261,0.7,13,-393.17659901804166,RF,Ptua
